#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED;Cannot give away the capital county after moving the capital;Impossible de céder la province comprenant notre nouvelle capitale.;;;;;;;;;;;;x
INTERACTION_REVOKE_BEFORE_DATE;Cannot revoke this granted title before §Y$DATE$§!;Impossible de révoquer ce titre avant le §Y$DATE$§!;;;;;;;;;;;;x
depose_antipope_desc;This Casus Belli can be used to depose an antipope in another realm.;Ce casus belli peut être utilisé pour déposer l’antipape d’un autre domaine.;;;;;;;;;;;;x
CB_NAME_DEPOSE_ANTIPOPE;Depose Antipope;Déposer un antipape.;;;;;;;;;;;;x
WAR_NAME_DEPOSE_ANTIPOPE;$FIRST_ADJ$-$SECOND_ADJ$ Antipapal War;Guerre $FIRST_ADJ$ de déposition de l’antipape $SECOND_ADJ$.;;;;;;;;;;;;x
CB_NAME_INSTALL_ANTIKING;Install Antiking;Installer un antiroi;;;;;;;;;;;;x
WAR_NAME_INSTALL_ANTIKING;$FIRST_ADJ$-$SECOND_ADJ$ Antiking War;Guerre $FIRST_ADJ$ d'éradication du schisme $SECOND_ADJ$.;;;;;;;;;;;;x
faction_antiking_short;Antiking [From.GetFirstName];Antiroi papal [From.GetFirstName];;;;;;;;;;;;x
faction_antiking_title;Antiking [From.GetFirstName] for [This.GetName];Antiroi [From.GetFirstName] pour mettre fin à au schisme de [This.GetName];;;;;;;;;;;;x
faction_antiking_desc;Members seek to restore Papal authority in [This.GetName] by installing §Y[From.GetBestName]§! on the throne, deposing any antipope and passing the Papal Investiture law.;Ses membres aspirent à restaurer l'autorité pontificale en [This.GetName] en favorisant l'accession de §Y[From.GetBestName]§! sur le trône, ce qui renversera également l'antipape et instaurera l'investiture pontificiale des évêques.;;;;;;;;;;;;x
faction_antiking_ultimatum;Demand the Throne;Demander le trône.;;;;;;;;;;;;x
faction_antiking_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the throne, the overthrow of antipopes and the institution of Papal Investiture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présenter un ultimatum à §Y[Root.Liege.GetBestName]§!, demandant le trône, renversant les antipapes et instituant l’investiture pontificale des évêques. Si [Root.Liege.GetSubjectPronoun] refuse de s’y soumettre, votre faction se soulèvera.;;;;;;;;;;;;x
EVTDESC8202;Under pressure from the papally sanctioned Antiking Faction, [From.GetTitledName] has agreed to relinquish the throne.;Sous la pression de la faction du prétendant soutenu par le pape, [From.GetTitledName] a accepté de renoncer à son trône.;;;;;;;;;;;;x
cathar_DESC;The Cathar, or Albigensian, heresy rejects confession and the holiness of the clergy and of the Pope. They only have a single sacrament - the Consolation - to remove sin and turn the believer into a Cathar 'Perfect'.;L’hérésie cathare, ou albigeoise, rejette la confession et le caractère sacré du clergé et du pape. Ils ne reconnaissent qu’un seul sacrement, celui du consolament, utilisé pour absoudre les péchés et être ordonné parfait. Fonctionnalités :\n§Y*S! Il n’y a pas de chef religieux\n§Y*§! Les cathares peuvent ordonner les femmes prêtres;;;;;;;;;;;;x
fraticelli_DESC;The Fraticelli, or 'Little Brethren', is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence.;Les fraticelles, ou « petits frères », sont des hérétiques catholiques qui ont pour origine l’ordre des moines franciscains. Ils consacrent leur vie – tout particulièrement les hommes de robe – à la pauvreté et à l’ascétisme. Les hérétiques fraticelles s’opposent violemment à la richesse de l’Église et à son opulence ostentatoire. Fonctionnalités:\n§Y*§! Peuvent instaurer une papauté fraticelle si Rome est conquise\n§Y*§! Le pape peut permettre un divorce\n§Y*S! Le pape peut justifier un casus belli d’invasion\n§Y*S! Le pape peut excommunier  des personnages fraticelles§Y*§! Les évêques fraticelles pourraient reverser leurs impôts au pape plutôt qu’à leur seigneur séculier.;;;;;;;;;;;;x
bogomilist_DESC;Bogomilism is an originally Orthodox Christian heresy with Gnostic elements that completely rejects the ecclesiastical hierarchy and advocates a return to early Christianity. Bogomilists believe that the world was created by an evil demiurge - the Devil.;Le bogomilisme est à l’origine une hérésie chrétienne orthodoxe incluant des éléments gnostiques rejetant la hiérarchie ecclésiale et prêchant le retour au christianisme primitif. Les bogomiles croient que le monde fut crée par un démiurge démoniaque : le Diable. Fonctionnalités:\n§Y*S! Il n’y a pas de chef religieux\n§Y*§! Les bogomiles peuvent ordonner les femmes prêtres;;;;;;;;;;;;x
iconoclast_DESC;The Iconoclast heresy plagued the Byzantine Empire in multiple waves. Iconoclasts believe that religious images - icons and depictions of holy figures in particular - are a form of idolatry and must not be allowed. In their heyday, iconoclasts destroyed innumerable such decorations and icons, sometimes even urged on by Iconoclast Emperors.;L’hérésie iconoclaste empesta l’Empire byzantin en de nombreuses vagues. Les iconoclastes croient que les images religieuses (icônes et représentation des figures sacrées en particuliers) constituent une forme d’idolâtrie et doivent être interdites. À leur apogée, les iconoclastes – parfois exhortés par les empereurs iconoclastes – détruisèrent d’innombrables décorations et icônes. Fonctionnalités :\n§Y*§! Peuvent instaurer un patriarcat iconoclaste si Constantinople est sous contrôle\n§Y*§! De nombreux patriarches : les cinq pentarches et les patriarches autocéphales sous l’autorité des rois\n§Y*§! les patriarches peuvent permettre un divorce\n§Y*§! le patriarche iconoclaste peut justifier un casus belli d’invasion\n§Y*§! les patriarches peuvent excommunier les personnages orthodoxes.;;;;;;;;;;;;x
yazidi_DESC;The Yazidi religion is properly a distinct religion but is treated as a Sunni heresy in the game. Yazidis believe that God created the world and left seven angels in charge, the chief of whom is the Peacock Angel, Malek Taus or Shaytan, a being usually identified by Christians and Muslims as Satan.;La religion yézidie est une religion distincte traitée comme hérésie sunnite dans le jeu. Les yézidis croient que Dieu a crée le monde et y a laissé sept anges pour l’administrer. Leur chef est l’ange-paon, Malek Taous ou Chaïtan : un être habituellement identifié par les chrétiens et les musulmans comme étant Satan. Fonctionnalités :\n§Y*§! le territoire du cheikh yézidi est détenu par un seigneur séculier et peut cesser d’exister.\n§Y*§! Le cheikh yézidi peut subjuguer librement les autres seigneurs yézdis\n§Y*§! Le cheikh yézidi peut déclarer le grand djihad\n§Y*§!\n§Y*§! Les seigneurs yézidis peuvent – et sont tenus de – avoir de nombreuses femmes\n§Y*§! Les seigneuries théocratiques peuvent être détenues par quiconque sans pénalité\n§Y*§! La décadence des dynasties yézidies croît si les dynastes ne détiennent suffisamment de terres et ne gagnent suffisamment de guerres.;;;;;;;;;;;;x
ibadi_DESC;Ibadism is distinct from both Shi'a and Sunni Islam. Ibadis believe that souls condemned to Hell will stay there forever. Ibadis also reject the notion that Muslims will get to see Allah on the Day of Judgment.;L'ibadisme est distinct de l’islam chiite et sunnite mais est plus proche du sunnisme que du chiisme et est en conséquence traité comme une hérésie sunnite dans le jeu. Les ibadis croient que les âmes condamnées à l’Enfer y resteront à jamais. Les ibadis rejettent aussi la notion que les musulmans verront Allah au jour du Jugement dernier. Fonctionnalités :\n§Y*§! Le califat ibadit est détenu par un seigneur séculier et peut cesser d’exister.\n§Y*§! Le calife ibadit peut subjuguer librement les autres seigneurs ibadits\n§Y*§! Le calife ibadit peut déclarer le grand djihad\n§Y*§!\n§Y*§! Les seigneurs ibadis peuvent – et sont tenus de – avoir de nombreuses femmes\n§Y*§! Les seigneuries théocratiques peuvent être détenues par quiconque sans pénalité\n§Y*§! La décadence des dynasties ibadites croît si les dynastes ne détiennent suffisamment de terres et ne gagnent suffisamment de guerres.;;;;;;;;;;;;x
hurufi_DESC;The Hurufi faith is a mystical, kabbalistic, Sufi sect within Islam, regarded as a heresy.;La foi hurufite celle d’une secte mystique et kabbalistique soufie que l’Islam considère comme une hérésie. Fonctionnalités :\n§Y*§! Le territoire du sheik hurufite est détenu par un seigneur séculier et peut cesser d’exister.\n§Y*§! Le calife hurufit peut subjuguer librement les autres seigneurs hurufits\n§Y*§! Le calife hurufit peut déclarer le grand djihad\n§Y*§!\n§Y*§! Les seigneurs hurufits peuvent – et sont tenus de – avoir de nombreuses femmes\n§Y*§! Les seigneuries théocratiques peuvent être détenues par quiconque sans pénalité\n§Y*§! La décadence des dynasties hurufits croît si les dynastes ne détiennent suffisamment de terres et ne gagnent suffisamment de guerres.;;;;;;;;;;;;x
karaite_DESC;Karaite Judaism is a Jewish movement characterized by the recognition of the Tanakh alone as its supreme legal authority in Jewish religious law and theology. In this it is distinct from mainstream Rabbinic Judaism. Karaites maintain that all of the divine commandments handed down to Moses by God were recorded in the written Torah, without additional Oral Law or explanation. In-game, Karaite Judaism is a heresy of mainstream Judaism. This heresy has no formal head and no special game mechanics.;Le judaïsme karaïte est un mouvement juif caractérisé par la reconnaissance du seul Tanakh et de son autorité suprême sur les lois religieuses et sur la théologie juive. En cela, il est distinct du courant rabbinique majoritaire. Les karaïtes soutiennent que tous les commandements divins reçus de Dieu par Moïse furent consignés dans la Torah écrite sans lois orales additionnelles ou explications. Dans le jeu, le judaïsme karaïte est une hérésie du judaïsme majoritaire. Cette hérésie n’a formellement pas de chef religieux et ne suit pas de règles spéciales.;;;;;;;;;;;;x
samaritan_DESC;Samaritanism is an Abrahamic religion closely related to Judaism. Samaritans assert their worship is the true religion of the ancient Israelites prior to the Babylonian Exile, preserved by those who remained in the Land of Israel, as opposed to Judaism, which they assert is a related but altered and amended religion. In-game, Samaritanism is treated as a heresy of mainstream Judaism. This heresy has no formal head and no special game mechanics.;Le samaritanisme est une religion abrahamique très proche du judaïsme. Les samaritains affirment que leur culte est celui de la véritable religion des anciens Israélites antérieurement à leur exil babylonien et préservé par ceux qui sont restés sur la terre d’Israël. Ils opposent leur culte à celui du judaïsme qu’ils considèrent comme une religion liée mais altérée et amendée. Dans le jeu, le samaritanisme est traité comme une hérésie du judaïsme majoritaire. Cette hérésie n’a formellement pas de chef religieux et ne suit pas de règles spéciales.;;;;;;;;;;;;x
