#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
EVTDESC_RoI_10003;My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetPossPronoun] old friends and family, even naming many correctly.;Notre [GetFromRelation] montre tous les signes de la réincarnation de notre [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Notre [From.GetFirstName] parle souvent de ses anciens amis et de son ancienne famille, jusqu'à en connaître leur noms.;;;;;;;;;;;;x
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;En raison de ses territoires outre-mer, nos états possèdent un bon nombre de navire marchands que nous pouvons mobiliser en temps de guerre. Évidemment, cela a un prix...;;;;;;;;;;;;x
realm_jains_upset;Jains in your realm are upset.;Les jaïns qui vivent sur mes terres sont en colère.;;;;;;;;;;;;x
become_samrat_chakravartin_desc;An Indian ruler who manages to emulate Ashoka the Great and unite all the lands of India under [Root.GetHerHis] rule may claim the title of Samrat Chakravartin, Emperor of Emperors. This title embodies the concept of the ideal and universal world ruler in Indian tradition. Claiming it is a hard task, but living up to it may be even harder...;Un dirigeant indien qui parvient à s'inspirer d'Ashoka le Grand et qui unifiera toutes les terres de l'Inde sous [Root.GetHerHis] joug pourra réclamer le titre de Samrat Chakravartin, Empereur des empereurs. Ce titre recouvre le concept du souverain universel idéal dans la tradition indienne. S'en emparer n'est pas chose facile, mais en être réellement à la hauteur est encore plus dur...;;;;;;;;;;;;x
d_tamil_band;Tamil Band;Groupe tamoul;;;;;;;;;;;;x
d_tamil_band_adj;Tamil;tamoul;;;;;;;;;;;;x
d_marathi_band;Marathi Band;Groupe marathi;;;;;;;;;;;;x
d_bengal_company_adj;Bengal;du Bengale;;;;;;;;;;;;x
d_bengal_band;Bengal Band;Groupe du Bengale;;;;;;;;;;;;x
d_bengal_band_adj;Bengal;du Bengale;;;;;;;;;;;;x
d_rajput_band;Rajput Band;Groupe rajput;;;;;;;;;;;;x
TRAIT_OPINION_CHURCH;Church Opinion: $VALUE$;Opinion du clergé : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_CHRISTIAN_CHURCH;Christian Church Opinion: $VALUE$;Opinion de l'Église : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_SPOUSE;Spouse Opinion: $VALUE$;Opinion du conjoint : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_SEX_APPEAL;Attraction Opinion: $VALUE$;Opinion sur le charisme : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_DYNASTY;Dynasty Opinion: $VALUE$;Opinion de la dynastie : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_VASSAL;Vassal Opinion: $VALUE$;Opinion des vassaux : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_LIEGE;Liege Opinion: $VALUE$;Opinion du seigneur : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_INFIDEL;Other Faith Opinion: $VALUE$;Opinion d'une autre religion :  $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_SAME_TRAIT;Same Trait Opinion: $VALUE$;Opinion d'une personnalité similaire : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_SAME_TRAIT_SAME_REL;Religious Same Trait Opinion: $VALUE$;Opinion des religieux similaires : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_OPPOSITE_TRAIT;Opposite Trait Opinion: $VALUE$;Opinion d'une personnalité opposée : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_SAME_RELIGION;Same Faith Opinion: $VALUE$;Opinion des coreligionnaires :  $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_MUSLIM;Muslim Opinion: $VALUE$;Opinion des musulmans : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_ZORO;Zoroastrian Opinion: $VALUE$;Opinion des zoroastriens : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_JEWISH;Jewish Opinion: $VALUE$;Opinion des juifs : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_CHRISTIAN;Christian Opinion: $VALUE$;Opinion des chrétiens : $VALUE$;;;;;;;;;;;;x
TRAIT_OPINION_AMBITION;Ambition Opinion: $VALUE$;Opinion sur l'ambition : $VALUE$;;;;;;;;;;;;x
alert_demesne_too_big_instant;§YDemesne too Big§!;§YTrop de possessions§!;;;;;;;;;;;;x
alert_demesne_too_big_delayed;Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation, troop recruitment and resentment among your vassals.;Vos possessions comportent §Y$NUM$§!/§Y$MAX$§! régions, ce qui affecte le prélèvement de l'impôt et le recrutement des troupes, et cause un ressentiment parmi vos vassaux.;;;;;;;;;;;;x
