#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
EVTDESC_RoI_10011;My [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] reborn, is acting more like [From.GetPossPronoun] previous incarnation every day! [From.GetFirstName] is definitely expressing another of [From.Reincarnation.GetFirstName]'s personality traits...;Notre [GetFromRelation] [From.GetFirstName], réincarnation de [From.Reincarnation.GetTitledFirstName], se comporte chaque jour davantage comme sa précédente incarnation ! [From.GetFirstName] est clairement en train d'exprimer un autre aspect de sa personnalité;;;;;;;;;;;;x
form_the_hre_desc;With a realm to rival that of Charlemagne, I could be recognized as his true successor and, invoking Translatio Imperii, have [Root.RelHead.GetBestName] crown me Emperor of a new Roman Empire in the west!;Si j'avais un royaume rivalisant avec celui de Charlemagne, on pourrait me reconnaître comme son véritable successeur. En invoquant le principe de Translatio Imperii, je pourrai faire en sorte que [Root.RelHead.GetBestName] me couronne empereur d'un nouvel Empire romain d'Occident !;;;;;;;;;;;;x
buddhist_DESC;Buddhism was founded by the Buddha, Siddhartha Gautama, in Northeast India in the 5th century BC. The religion flourished in India for more than 1500 years, building huge libraries and monastery complexes, until Muslim invasions and the growing power of the Brahmin caste drove Buddhism out of the subcontinent. In the game, Buddhists get a significant bonus to Learning, meaning that they will research technologies faster.;Le bouddhisme a été fondé par le Bouddha, Siddhartha Gautama, dans le nord de l'Inde au Ve siècle avant Jésus Christ. Cette religion s'est développée en Inde pendant plus de 1500 ans édifiant de gigantesques bibliothèques et de complexes monatères, jusqu'à ce que les invasions musulmanes et la montée en puissance des Brahmanes ne chasse les bouddhistes du sous-continent. Dans le jeu, les bouddistes ont un avantage significatif dans la recherche, ce qui leur permet d'obtenir des technologies plus rapidement. Autres aspects : \n§Y*§! Il n'y a pas de chef religieux \n§Y*§! Les traits de caste n'ont aucun impact \n§Y*§! Les bouddhistes ont un bonus d'apprentissage \n§Y*§! Possibilité de guerre de conquête contre les autres adpetes de religions indiennes \n§Y*§! Guerres saintes limitées contre les religions non-indiennes  \n§Y*§! Difficiculté à convertir les provinces jaïniste et hindoue  \n§Y*§! Possibilité de désigner un héritier parmis ses descendants.;;;;;;;;;;;;x
jain_DESC;Jainism is a religion of incredible antiquity, stemming from the ascetic Sramana tradition of India, in opposition to the priestly Brahmins and the caste system. The guiding principle of Jainism is Ahimsa - non-violence - which is more radically interpreted than in any other religion. In the game, Jains have a hard time waging offensive wars, but their remarkable tolerance means Jain rulers are well liked by all.;Le jaïnisme est une religion fort ancienne, tirant ses origines de l'ascétisme de la tradition Shramana, en Inde, contrairement à la tradition cléricale des Brahmanes. Le principe fondateur du jaïnisme est l'Ahimsa, la non-violence, dont l'interprétation est beaucoup plus radicale que dans la plupart des autres religions. Dans le jeu, les jaïns peuvent difficilement mener des guerres d'aggression, mais leur grande tolérance fait des jaïns des seigneure appréciés de tous. Autres aspects :  \n§Y*§! Il n'y a pas de chef religieux \n§Y*§! Les traits de caste n'ont aucun impact \n§Y*§! Pas de guerres saintes \n§Y*§! Possibilité de déclarer des guerre de conquête contre les autres religions indiennes \n§Y*§! Beaucoup moins de risque de révolte \n§Y*§! Meilleure opinion des vassaux \n§Y*§! Les seigneurs peuvent avoir un vaste domaine \n§Y*§! Possibilité de désigner un héritier parmi ses descendants.;;;;;;;;;;;;x
THREAT_ADVENTURER;Preparing an Adventure against me;Se prépare à l'aventure contre moi;;;;;;;;;;;;x
THREAT_PREPARING_INVASION;Preparing an Invasion against me;Planifie l'invasion de mes terres;;;;;;;;;;;;x
DESIGNATE_HEIR_ALLOWED_SUCCESSION;Succession Law must be either Gavelkind, Primogeniture, Ultimogeniture or Open;La loi de succession peut être la loi salique, la primogéniture, l'ultimogéniture ou la succession ouverte;;;;;;;;;;;;x
DESIGNATE_HEIR_ALLOWED_GENDER;Heir Designation must obey the Succession Gender Law;Le choix d'un héritier doit se conformer aux lois de succession;;;;;;;;;;;;x
DESIGNATE_HEIR;Designate this Character as your Heir;Désigner ce personnage en tant qu'héritier;;;;;;;;;;;;x
MORAL_AUTHORITY_DESC;The moral authority of a religion affects the conversion chances of characters and counties and the susceptibility to heresies. A low authority value can prevent the chief pontiff from performing special actions like excommunication. It may also cause instability with various negative events in your realm as the religious institutions lose their grip on the populace.;L'autorité morale d'une religion influence sur la facilité à convertir une province ou un personnage, ainsi que sur le foisonnement des hérésies. Un souverain pontife sans grande autorité ne pourra utiliser des actions particulières comme l'excommunication. La faiblesse des institutions religieuses peut provoquer de l'instabilité chez la populace qui s'émancipent de leur joug.;;;;;;;;;;;;x
MODIFIER_CHURCH_OPINION;Temple Vassal Opinion;Opinion des vassaux religieux;;;;;;;;;;;;x
CANNOT_AFFORD_THE_PIETY;§RWe do not have enough $PIETYNAME$!§W\n;§RNous n’avons pas assez de $PIETYNAME$!§W\n;;;;;;;;;;;;x
HIRE_ORDER_DESC;Hire §Y$TITLE$§W for §Y$COST$§W $PIETYNAME$. (They will arrive in or nearby §Y$CAPITAL$§W.);Engagez §Y$TITLE$§W pour §Y$COST$§W en $PIETYNAME$. (L’arrivée se fera à §Y$CAPITAL$§W ou à proximité).;;;;;;;;;;;;x
expel_the_jomsvikings_desc;I can drive the Jomsvikings from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser les Jomsvikings de mon territoire et prendre possession de leurs châteaux. Ce serait par contre un acte très impie...;;;;;;;;;;;;x
