#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have. If you should convert to a religion in the Muslim group, your government form will change to Iqta.;"Le régime féodal s'appuie sur l'hommage; le serment entre seigneur et vassal. Les seigneurs féodaux ne pouvant détenir en main propre tous leurs fiefs, ils doivent s'en remettre à des vassaux dont la loyauté est parfois vacillante... De nombreuses lois permettent d'ordonner la succession des titres; chacune ayant ses bons côtés. Le degré de centralisation influence la taille maximum de votre domaine personnel et le nombre de vassaux pouvant relever directement de vous. S'il advient que vous vous tourniez vers l'Islam, vous adopterez le régime de l'Iqtâ.";;;;;;;;;;;;x
muslim_government_desc;The Arabic Iqta system is similar to the Feudal system - rulers must rely on land holding vassals of varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits. If you should convert to a non-Muslim religion, your government form will change to Feudal.;"En Occident, le système arabe de l'Iqtâ est considéré comme similaire au régime féodal; les dirigeants s'appuyant sur des subalternes détenant des terres et dont les ambitions ne sont pas toujours contrecarrées par leur loyauté. Leur nombre ainsi que la taille de votre domaine personnel sont conditionnées par le degré de centralisation. Toutefois, seule un type de succession est autorisé sous ce régime : la succession ouverte, un système parfois chaotique où le fils détenant le plus de terre succède au père. S'il advient que vous vous détourniez de l'Islam, l'Iqtâ fera place au régime féodal.";;;;;;;;;;;;x
FORT_CONSTRUCTION_ABANDONED_SETUP;Fort Construction Lost;Chantier abandonné;;;;;;;;;;;;x
FORT_CONSTRUCTION_ABANDONED_LOG;The Fort under construction by §Y$BUILDER$§! in the hostile county of §Y$PROV$§! has been abandoned.;La construction du fort par §Y$BUILDER$§! en territoire hostile de §Y$PROV$§! a été abandonnée.;;;;;;;;;;;;x
succ_nomad_succession_desc;Under Nomad Succession, the son or brother with the most Prestige normally inherits, but prestigious Clan leaders also stand a chance if their Population is bigger than the Khagan's. Wrong-culture characters are disqualified and adults have precedence over children. If the Khagan's primary heir is still a child, the Khaganate is lost to one of the Clan chiefs. Clan chiefs with more Prestige than the heir get Claims on the Khaganate.;Dans la coutume nomade, c'est le fils ou le frère au plus grand prestige qui est l'héritier, mais les grands chefs de Clan ont également des prétentions, particulièrement s'ils dirigent davantage d'hommes que le Khagan. Les personnes d'une autre culture sont exclue de la succession et celle-ci préfère les adultes aux enfants. Si le principal héritier direct du Khagan est un enfant, l'un des chefs de Clan fera main basse sur la succession. De même, les chefs de Clan détenant un plus grand prestige que l'héritier reconnu pourront prétendre au Khaganat.;;;;;;;;;;;;x
COUNTIES_PER_CLAN;Desired Counties per Clan;Nombre idéal de comtés par Clan;;;;;;;;;;;;x
POPULATION_BREAKDOWN;Current Population Breakdown;Répartition de la population;;;;;;;;;;;;x
STAT_POPULATION_DESC;This is the nomadic population of your realm. Each month, it will increase or decrease towards your §YMaximum Population§!, which is determined by the number of empty holdings in the counties you personally hold. The current §YPopulation§! is used to calculate your §YMaximum Manpower§!, and is also along with §YUnused Manpower§! used to calculate your monthly §YNomadic Tax§!.;Voici la population nomade de vos États. Au fil des mois, elle va tendre vers votre §YPopulation maximale§!, qui est déterminée par le nombre de fiefs vides dans les comtés vous appartenant en propre. La §YPopulation§! influence votre §YEffectif§!. De plus, votre §!Impôt§! mensuel découle de votre §YPopulation§! ainsi que de votre §YEffectif§! inutilisée.;;;;;;;;;;;;x
TR_SILK_ROAD_1_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y100§! contains a §YSilk Road Trade Post§!, §YSilk Road Market§! or §YMajor Silk Road City§!.;Aucun §Ycomptoir commercial§!, §Ymarché§! ou §Ygrande ville de la Soie§! dans un rayon de §Y100§!.;;;;;;;;;;;;x
TR_SILK_ROAD_2_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y200§! contains a §YSilk Road Market§! or §YMajor Silk Road City§!.;Aucun §Ycomptoir commercial§!, §Ymarché§! ou §Ygrande ville de la Soie§! dans un rayon de §Y200§!.;;;;;;;;;;;;x
