#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
create_portugal_desc;I can begin a new era in these lands by founding the Kingdom of Portugal.;Je peux marquer le début d'une nouvelle ère sur ces terres en créant le royaume de Portugal.;;;;;;;;;;;;x
EVTDESC_39617;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nOur Liege, the [GetRootFromCompliment] [From.GetTitledNameWithNick] has, in [From.GetHerHis] great wisdom, decided to adopt the [From.Religion.GetName] faith. As [From.GetHerHis] [From.GetLordSpiritualName], I would suggest that you consider doing the same.\n\nIn service of [From.Religion.GetRandomGodName],\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] of  [From.PrimaryTitle.GetName];Ô [GetFromRootComplimentNounAdj] [Root.GetTitledFirstName],\n\nNotre suzerain, [GetRootFromComplimentNounAdj] [From.GetTitledNameWithNick], a, dans sa grande sagesse, décidé de se tourner vers la foi [From.Religion.GetName]. Étant son [From.GetLordSpiritualName], je vous suggère d'en faire autant.\n\nAu service de [From.Religion.GetRandomGodName],\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] de [From.PrimaryTitle.GetName];;;;;;;;;;;;x
EVTDESC62923;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;Les [From.GetDynName] ont créé un nouveau [From.PrimaryTitle.GetTier] en Espagne et règnent désormais en maître sur [From.PrimaryTitle.GetName] !;;;;;;;;;;;;x
EVTDESC62925;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;Les [From.GetDynName] ont créé un nouveau [From.PrimaryTitle.GetTier] en Espagne et règnent désormais en maître sur [From.PrimaryTitle.GetName] !;;;;;;;;;;;;x
EVTDESC62927;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;Les [From.GetDynName] ont créé un nouveau [From.PrimaryTitle.GetTier] en Espagne et règnent désormais en maître sur [From.PrimaryTitle.GetName] !;;;;;;;;;;;;x
EVTDESC62921;[From.GetDynName] has decided to found the [From.PrimaryTitle.GetTier] of León. The ancient [From.PrimaryTitle.GetTier] of Asturias is no more!;Les [From.GetDynName] ont décidé de créer le [From.PrimaryTitle.GetTier] de León. L'ancien [From.PrimaryTitle.GetTier] des Asturies n'est plus !;;;;;;;;;;;;x
BUILD_FORT_DESC;Forts can be built in any counties that you control, as well as in hostile provinces where you have troops present. They cost §Y$COST$§!¤ to build. Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition penalty suffered in some Pagan homelands.;Les forts peuvent être construits dans toute province que vous contrôlez, ainsi que dans les provinces hostiles soumises à votre occupation. Il en coûte 'Y$COST$'!$ d'en construire. Les forts pérennisent vore contrôle des terres nomades innocupées et mitigent l'attrition dévastatrice provoquées dans certains territoires païens.;;;;;;;;;;;;x
create_aragon;Create Aragon;Créer l'Aragon;;;;;;;;;;;;x
create_castille;Create Castille;Créer la Castille;;;;;;;;;;;;x
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL;Merchant Republics are not allowed to change Capital, unless they are moving it to a city in a province with a port from a province without a port;Les républiques marchandes ne peuvent changer de capitale, à moins qu'il ne s'agisse de préférer une cité côtière dotée d'un port à une province en étant dépourvue;;;;;;;;;;;;x
HINT_SPLASH_2_INTRO;You are playing a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle]!;Vous incarnez un/une [PrimaryTitle.GetRulerTitle] [Culture.GetName] de confession [Religion.GetName];;;;;;;;;;;;x
tribal_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments;Y*'! peut se transformer en régime féodal, en Iqtâ ou en république marchande;;;;;;;;;;;;x
nomadic_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth;Y*'! peut se transformer en régime féodal, en Iqtâ ou en république marchande\n'Y*'! Peut piller des campements pour obtenir des richesses et du savoir technique.\n'Y*'! peut abandonner des provinces pour accroître sa population et sa main-d'oeuvre;;;;;;;;;;;;x
GOVERNMENT_UNLOCKS;Governments unlocked: ;Régimes accessibles : ;;;;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.;Notre régime $GOVERNMENT$ nous permet de révoquer les titres de 'Y$TIER$'! sans opposition de l'aristocratie.;;;;;;;;;;;;x
IS_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is of Divine Blood;La dynastie 'Y$DYNASTY$'! est une dynastie de sang divin.;;;;;;;;;;;;x
IS_NOT_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is NOT of Divine Blood;La dynastie 'Y$DYNASTY$'! n'est PAS une dynastie de sang divin.;;;;;;;;;;;;x
SET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is now considered of Divine Blood\n;La dynastie 'Y$DYNASTY$'! est désormais considérée comme une dynastie de sang divin.\n;;;;;;;;;;;;x
UNSET_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is no longer considered of Divine Blood\n;La dynastie 'Y$DYNASTY$'! n'est plus considérée comme une dynastie de sang divin.\n;;;;;;;;;;;;x
CHRONICLE_ADOPTED_FEUDALISM;[From.GetDynName] adopted a feudal system in [From.GetHerHis] domains, abandoning the old tribal ways.;Les [GetDynName] ont instauré le féodalisme sur leurs terres, tournant le dos aux anciennes coutumes tribales.;;;;;;;;;;;;x
CHRONICLE_FOUNDED_MERCHANT_REPUBLIC;[From.GetDynName] founded a merchant republic in [From.GetHerHis] domains, abandoning the old tribal ways.;Les [From.GetDynName] érigèrent leurs États en république marchande, tournant le dos aux anciennes coutumes tribales.;;;;;;;;;;;;x
