#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
d_mamluks;Mamluks;Mamelouks;;;;;;;;;;;;x
other_dejure_county_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;Le §Y$TITLE$§! est, de jure, un vassal de §Y$CLAIMANT$§!, ce qui est suffisant pour déclencher une guerre.;;;;;;;;;;;;x
other_dejure_barony_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;Le §Y$TITLE$§! est, de jure, un vassal de §Y$CLAIMANT$§!, ce qui est suffisant pour déclencher une guerre.;;;;;;;;;;;;x
high_taxes;High Taxes;Taxes élevées;;;;;;;;;;;;x
title_master_of_the_horse_desc;This office dates all the way back the Roman Republic, and, in this era where a horse is a symbol of power, it is still very important. Although the Master of the Horse delegates the actual day to day running of the actual stables, much of the prestige of this office comes from the responsibility for the stud.;Ce poste remonte à la République romaine. À cette époque, le cheval était symbole de pouvoir et il encore très important de nos jours. Bien que le Maître de l'Écurie délègue les affaires quotidiennes des écuries, il a beaucoup de prestige puisqu'il est responsable de la reproduction des chevaux.;;;;;;;;;;;;x
title_master_of_the_hunt_desc;In an era when hunting was an opportunity to demonstrate horsemanship and martial prowess, the hunt was serious business. The master of the hunt was a position of importance.;À l'époque où la chasse était une occasion de démontrer son talent de cavalier et de guerrier, cette activité était une affaire sérieuse. Le Veneur occupait un poste important.;;;;;;;;;;;;x
title_master_of_the_hounds_desc;With hunting considered the main pastime of the higher nobility, the hounds employed for the some of the hunts are thus important.;La chasse était considérée comme le principal passe-temps de la haute noblesse. Les chiens utilisés lors des parties de chasse étaient donc très nombreux.;;;;;;;;;;;;x
title_high_almoner_desc;The handing out of alms was an integral part of rulership and religious observance. The one responsible for this task is a very important personage.;La distribution des aumônes faisait partie intégrante de la domination et de l'observance religieuse. Le responsable de cette tâche est un personnage très important.;;;;;;;;;;;;x
title_seneschal_desc;Originally responsible for the organization of feasts and domestic entertainment. Although left mainly in the hands of deputies, the key role at such major occasions makes the post prestigious.;Initialement responsable d'organiser les fêtes et de veiller au divertissement. Il est principalement entre les mains des députés et son rôle clé lors des grandes occasions rend son poste prestigieux.;;;;;;;;;;;;x
CB_NAME_OVERTHROWRULER_NC;Overthrow Ruler;Renverser le Suzerain;;;;;;;;;;;;x
WAR_NAME_OVERTHROWRULER_NC;$ORDER$Revolt against the rule of $DEFENDER$;$ORDER$ Révolte contre le règne de $DEFENDER$;;;;;;;;;;;;x
job_spiritual_christian;Court Chaplain;Chapelain de la Cour;;;;;;;;;;;;x
PEACE_DEMAND;Enforce Demands;Appuyer les exigences;;;;;;;;;;;;x
AI_WE_HAVE_WON;'I have won the war!';J'ai gagné la guerre !;;;;;;;;;;;;x
AI_WE_ARE_STALEMATE;'The war is indecisive';L'issue de la guerre est indécise;;;;;;;;;;;;x
AI_WE_ARE_BEATEN;'I have lost the war...';J'ai perdu la guerre…;;;;;;;;;;;;x
feudal_tax_1;Small Feudal Tax;Petite taxe féodale;;;;;;;;;;;;x
feudal_tax_2;Large Feudal Tax;Taxe féodale moyenne;;;;;;;;;;;;x
feudal_tax_3;Harsh Feudal Tax;Lourde Taxe féodale;;;;;;;;;;;;x
