#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_OPINION;Opinion of §Y[GetTitledFirstName]§!;Opinion de §Y[GetTitledFirstName]§!;Opinion de §Y[GetTitledFirstName]§!;FAUX;Opinión de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_SKILLS;Skills of §Y[GetTitledFirstName]§!;Compétences de §Y[GetTitledFirstName]§!;Compétences de §Y[GetTitledFirstName]§!;FAUX;Habilidades de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_REALPOLITIK;Political Concerns;Considérations politiques;Considérations politiques;FAUX;Intereses políticos;;;;;;;;;x
AIREASON_REALPOLITIK_VS;Political Concerns vs §Y[GetTitledFirstName]§!;Opposition à §Y[GetTitledFirstName]§!;Opposition à §Y[GetTitledFirstName]§!;FAUX;Intereses políticos versus §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_WRONG_CULTURE;Foreign Culture;Différence culturelle;Différence culturelle;FAUX;Cultura extranjera;;;;;;;;;x
AIREASON_STRENGTH;Power;Puissance;Puissance;FAUX;Poder;;;;;;;;;x
AIREASON_IS_RULER;Is a Ruler;Est un seigneur;Est un seigneur;FAUX;Es un gobernante;;;;;;;;;x
AIREASON_NO_INTEREST_IN_CHAR;No interest in §Y[GetTitledFirstName]§!;Aucun intérêt pour §Y[GetTitledFirstName]§!;Aucun intérêt pour §Y[GetTitledFirstName]§!;FAUX;Sin interés en §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_SAME_DYNASTY_AS_TARGET;Same Dynasty as §Y[GetTitledFirstName]§!;Même dynastie que §Y[GetTitledFirstName]§!;Même dynastie que §Y[GetTitledFirstName]§!;FAUX;La misma dinastía que §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_SUCC_LOWLY_RANK;§Y[GetTitledFirstName]§! is of too lowly rank for a regular marriage;§Y[GetTitledFirstName]§! est de trop basse extraction  pour un mariage classique.;§Y[GetTitledFirstName]§! est de trop basse extraction  pour un mariage classique.;FAUX;§Y[GetTitledFirstName]§! es de una clase demasiado baja para un matrimonio normal;;;;;;;;;x
AIREASON_POWER_TO_PRESS_CLAIMS;§Y[GetTitledFirstName]§! has the power to press my claims;§Y[GetTitledFirstName]§! peut faire valoir mes revendications.;§Y[GetTitledFirstName]§! peut faire valoir mes revendications.;FAUX;§Y[GetTitledFirstName]§! tiene el poder de instar mis reivindicaciones;;;;;;;;;x
AIREASON_UNABLE_PRESS_CLAIMS;§Y[GetTitledFirstName]§! is unable to press my claims;§Y[GetTitledFirstName]§! ne pourra pas faire valoir mes revendications.;§Y[GetTitledFirstName]§! ne pourra pas faire valoir mes revendications.;FAUX;§Y[GetTitledFirstName]§! no puede instar mis reivindicaciones;;;;;;;;;x
AIREASON_AGE_FACTOR;Age of §Y[GetTitledFirstName]§!;Âge de §Y[GetTitledFirstName]§!;Âge de §Y[GetTitledFirstName]§!;FAUX;Edad de §Y[GetTitledFirstName]§!;;;;;;;;;x
AIREASON_WANTS_FREEDOM;Wants Freedom;Veut être libre;Veut être libre;FAUX;Desea libertad;;;;;;;;;x
AIREASON_GOLD_IS_GOOD;Gold is Good;J'adore l'or;J'adore l'or;FAUX;El oro es bueno;;;;;;;;;x
AIREASON_GOT_MORE_ADVANCED_PLOT;Already leading a similar Plot;Mène déjà un complot similaire;Mène déjà un complot similaire;FAUX;Ya lidera un complot similar;;;;;;;;;x
AIREASON_AGE_POWER_DIFFERENCE;Age vs Suitor Power;Disparité entre l'âge et la puissance du soupirant;Disparité entre l'âge et la puissance du soupirant;FAUX;Edad versus poder del aspirante;;;;;;;;;x
AIREASON_INFERTILE;Unlikely to have Children;Fertilité douteuse;Fertilité douteuse;FAUX;Improbable tener hijos;;;;;;;;;x
alert_build_province_improvement_instant;§YYou can build province improvements!§!;§YVous pouvez améliorer la province !§!;§YVous pouvez améliorer la province !§!;FAUX;§YPodéis construir mejoras de la provincia§!;§YPuoi costruire miglioramenti per la provincia!§!;§YFejlesztheted a tartományaidat!§!;§YMùžete budovat provinciální vylepšení!§!;;;;;;x
alert_revoltrisk_in_provinces_delayed;The following provinces run a risk of having a revolt:\n$LIST$;Les provinces suivantes risquent la révolte.\n$LIST$.;Les provinces suivantes risquent la révolte.\n$LIST$.;FAUX;Las siguientes provincias corren el riego de sufrir una rebelión.\n$LIST$;Le seguenti province sono a rischio di rivolta.\n$LIST$;A következõ provinciákon áll fent lázadás esélye.\n$LIST$;V*následujících provinciích mùže propuknout revolta.\n$LIST$;;;;;;x
alert_court_not_filled_instant;§YOpen Council Positions§!;§YCombler des postes au conseil§!;§YCombler des postes au conseil§!;FAUX;§YPuestos en el consejo§!;;;;;;;;;x
alert_court_not_filled_delayed;The following spots need to be filled:\n$LIST$\n§GClick to go to Court View§!;Les postes suivants  peuvent être comblés :\n$LIST$\n§GCliquez pour accéder à la vue Cour.§!;Les postes suivants  peuvent être comblés :\n$LIST$\n§GCliquez pour accéder à la vue Cour.§!;FAUX;Deben cubrirse las siguientes posiciones:\n$LIST$\n§GClic para ir a vista de corte§!;;;;;;;;;x
alert_should_nominate_heir_instant;§YSuccessor Nomination§!;§YNomination d’un héritier§!;§YNomination d’un héritier§!;FAUX;§YDesignación de sucesores§!;;;;;;;;;x
