#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#AI_WE_ARE_LOSING;'I'm losing, but won't give up yet...';Je suis en train de perdre, mais je n'ai pas encore abandonné…;Ich unterliege, doch aufgeben werde ich noch nicht…;;Estoy perdiendo, pero no voy a rendirme aún…;;;;;;;;;x
#DECLARE_WAR_INTERACTION_0;Breaking the Truce would cost us §R$PRESTIGE$§! Prestige and lower all [Recipient.Religion.GetGroupName] rulers' opinion of us by §R$OPINION$§!;Rompre la trêve nous coûtera §R$PRESTIGE$§! de prestige et diminuera l’opinion que les souverains [Recipient.Religion.GetGroupName] ont de nous de §R$OPINION$§!;Ein Bruch des Waffenstillstands würde uns §R$PRESTIGE$§! kosten und die Meinung aller [Recipient.Religion.GetGroupName]-Herrscher über uns um §R$OPINION$§! verschlechtern;;Romper la tregua te costará §R$PRESTIGE$§! de Prestigio, y la opinión de todos los soberanos del [Recipient.Religion.GetGroupName] bajará en §R$OPINION$§!.;;;;;;;;;x
AI_GOOD_FOR_US;'I like the way you're thinking';J'aime votre façon de penser;Ich mag deine Art zu denken;;Me gusta vuestra forma de pensar;;;;;;;;;x
AI_THIS_IS_GOOD_FOR_US;The best I can hope for';Je ne pouvais pas espérer mieux.;Auf mehr kann ich nicht hoffen;;Lo mejor que puedo esperar;;;;;;;;;x
AI_WE_ARE_ACCEPTING_WHITEPEACE;'I accept your offer of a white peace';J'accepte votre proposition de paix blanche;Ich akzeptiere dein informelles Friedensangebot;;Acepto vuestra oferta de bandera blanca;;;;;;;;;x
AI_WE_ARE_BEATEN;'I have lost the war...';J'ai perdu la guerre…;Ich habe den Krieg verloren…;;He perdido la guerra...;;;;;;;;;x
AI_WE_ARE_LOSING;It's just a flesh wound!';Ce n’est qu’une blessure de chair !;Das ist doch nur eine Fleischwunde!;;¡Solo es una herida superficial!;;;;;;;;;x
AI_WE_ARE_LOSING_BIG;I'm losing, but won't give up yet...';Je perds, mais je ne renonce pas...;Ich bin am Verlieren, aber ich werde noch nicht aufgeben ...;;Estoy perdiendo, pero no voy a rendirme aún...;;;;;;;;;x
AI_WE_ARE_LOSING_SMALL;Come on, you pansy!';En garde, ma mignonne !;Komm schon, du Weichei!;;¡Vamos, cobarde!;;;;;;;;;x
AI_WE_ARE_STALEMATE;'The war is indecisive';L'issue de la guerre est indécise;Der Krieg ist unentschieden;;La Guerra se encuentra en un punto muerto;;;;;;;;;x
AI_WE_ARE_TOTALLY_BEATEN;We are totally beaten';Nous sommes totalement vaincus.;Wir sind total am Ende;;Nos han vencido totalmente;;;;;;;;;x
AI_WE_ARE_WINNING;'I'm winning the war';Je suis en train de gagner la guerre;Ich werde den Krieg gewinnen;;Estoy ganando la guerra;;;;;;;;;x
