#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_FATE_OF_ENGLAND;Stamford Bridge;Pont de Stamford;Brücke von Stamford ;;Puente de Stamford;;;;;;;;;x
BM_FATE_OF_ENGLAND_DESC;September 20, 1066 AD. King Harold Godwinson rushes to defend the shores of England against the forces of his traitorous brother Tostig and the Norwegian king Harald IV, nicknamed 'Hårdråde' (Hard Ruler). Meanwhile, William, Duke of Normandy, is about to launch his own invasion of England, sanctioned by Pope Alexander II himself. Saxon, Norse, or Norman - who shall rule Albion?;20 septembre 1066. Le roi Harold Godwinson se précipite pour défendre les rivages de l’Angleterre contre les forces de son traître de frère, Tostig, et du roi norvégien Harald III, surnommé 'Hårdråde'. Entre temps, Guillaume, duc de Normandie, s’apprête, lui aussi, à envahir l’Angleterre, sanctionné par le Pape Alexandre II en personne. Saxons, Norvégiens ou Normands… Qui régnera sur Albion ?;20. September, Anno 1066. König Harald Godwinson eilt zur Verteidigung der Küsten Englands gegen die Truppen seines verräterischen Bruders Tostig und des norwegischen Königs Harald III., der den Spitznamen 'Hårdråde' (harter Herrscher) trägt. In der Zwischenzeit ist Wilhelm II., Herzog der Normandie, dabei, seine eigene Invasion Englands zu starten, die von Papst Alexander II. persönlich abgesegnet wurde. Sachse, Nordmann oder Normanne - wer wird Albion regieren?;;20 de septiembre de 1066 DC. El rey Harold Godwinson se apresura a defender las costas de Inglaterra contra las fuerzas de su hermano traidor Tostig y el rey noruego Harald III, conocido como 'Hårdråde' (tirano). Mientras, Guillermo, duque de Normandía, prepara la invasión de Inglaterra con la aprobación del mismo Papa Alejandro II. ¿Quién reinará Albión?, ¿sajones, escandinavos o normandos?;;;;;;;;;x
BM_NORMAN_CONQUEST;William the Conqueror;Guillaume le Conquérant;Wilhelm der Eroberer;;Guillermo el Conquistador;;;;;;;;;x
BM_NORMAN_CONQUEST_DESC;Victorious at the hard-fought Battle of Hastings, William, Duke of Normandy, has proclaimed himself King of England. Displaced Saxon lords rage against the French speaking usurpers as fief after fief is given to William's loyal followers. In Anatolia, the Seljuk Turks under the great sultan Alp Arslan are about to invade the Byzantine Empire in a struggle that will determine the fate of Asia Minor...;Après avoir remporté la redoutable bataille d’Hastings, Guillaume, duc de Normandie, s’est autoproclamé roi d’Angleterre. Les seigneurs saxons sont fous de rage contre ces usurpateurs parlant français en voyant que leurs fiefs sont offerts, les uns après les autres, aux fidèles partisans de Guillaume. En Anatolie, les Turcs Seljuks, sous l’autorité du grand sultan Alp Arslan, s’apprêtent à envahir l’Empire byzantin et à livrer une bataille qui scellera le destin de l’Asie mineure...;Nach seinem Sieg in der Schlacht von Hastings erklärt Wilhelm II., Herzog der Normandie, sich zum König von England. Vertriebene sächsische Fürsten erheben sich gegen die frankophonen Thronräuber, während Lehen um Lehen Wilhelms loyalen Gefolgsleuten zufällt. In Anatolien machen sich die Seldschuken unter dem großen Sultan Alp Arslan bereit, das Byzantinische Kaiserreich in einen Krieg zu verwickeln, der das Schicksal Kleinasiens bestimmen wird ...;;Guillermo, duque de Normandía, sale victorioso en la Batalla de Hastings y se proclama rey de Inglaterra. Los señores sajones expatriados protestan contra los usurpadores francoparlantes y los feudos se van adjudicando a los fieles seguidores de Guillermo. En Anatolia, los selyúcidas, al mando del gran sultán Alp Arslan, se aprestan a invadir el Imperio Bizantino en lucha decisiva del destino de Asia Menor...;;;;;;;;;x
BM_THIRD_CRUSADE;The Third Crusade;La troisième croisade;Der Dritte Kreuzzug;;La Tercera Cruzada;;;;;;;;;x
BM_THIRD_CRUSADE_DESC;Jerusalem has fallen to the forces of the great infidel, Saladin, but Henry II of England, Philip II of France, and Holy Roman Emperor Frederick 'Barbarossa' have, in their righteous zeal, ended their petty disputes and stand ready to march against the Moor in the most powerful Crusade yet... Deus Vult!;Jérusalem est aux mains des forces du grand infidèle, Saladin, mais Henri II d’Angleterre, Philippe II de France et Frédéric 'Barberousse' du Saint Empire romain germanique ont mis fin aux querelles qui les opposaient pour unir leurs forces contre les Maures au cours de la plus puissante des croisades... Deus Vult !;Jerusalem ist den Truppen Saladins, des großen Ungläubigen, anheimgefallen, aber Heinrich II. von England, Philip II. von Frankreich und der Kaiser des Heiligen Römischen Reiches, Friedrich 'Barbarossa' haben wagemutig ihre kleinlichen Zankereien beigelegt und sind bereit, mit dem bis dato gewaltigsten Kreuzzug gegen den Mohr zu Felde zu ziehen ... Deus Vult!;;Jerusalén ha caído ante las fuerzas del gran infiel Saladino, pero Enrique II de Inglaterra, Felipe II de Francia y el emperador del Sacro Imperio Romano Federico 'Barbarroja' han puesto fin, en el nombre de la justicia, a sus disputas y se preparan para marchar contra los moros en la cruzada más importante hasta la fecha... ¡Deus vult!;;;;;;;;;x
BM_100_YEARS_WAR;The Hundred Years War;La guerre de Cent Ans;Der Hundertjährige Krieg;;La Guerra de los Cien años;;;;;;;;;x
BM_100_YEARS_WAR_DESC;The death of French King Charles IV in 1328 with no immediate heir triggered a succession dispute that would last for over a hundred years. Edward III of England was the closest living male heir, but the French nobility, balking at the prospect of a foreign king, claimed the line could not pass through a woman, and crowned another pretender - Philip. Nine years later, war broke out...;En 1328, la mort du roi français Charles IV, sans héritier immédiat, a donné lieu à une guerre de succession de plus d’un siècle. Édouard III d’Angleterre était son héritier le plus proche, mais la noblesse française, horrifiée par l’idée de voir un étranger monter sur le trône, a refusé qu’un tel héritage soit transmis par une femme et couronné un autre prétendant, Philippe. Neuf années plus tard, la guerre a éclaté...;1328 löste der Tod Karl IV. von Frankreich, der keinen direkten Nachfolger hinterließ, einen Erbfolgezwist aus, der über 100 Jahre lang dauern sollte. Eduard III. von England war der nächste lebende Nachfolger, aber den französischen Adligen widerstrebte der Gedanke an einen ausländischen König. Sie behaupteten, die Blutlinie könne nicht durch eine Frau gehen und krönten einen anderen Anwärter - Philipp. Neun Jahre später brach der Krieg aus ...;;La muerte del rey Carlos IV de Francia en 1328, no dejó heredero, causó disputa por la sucesión que duraría cien años. Eduardo III de Inglaterra era, entre los varones vivos, el más próximo al trono, pero la nobleza francesa repelía la idea de un rey extranjero y adujo que la línea no podía pasar a través de mujer, coronaron a otro aspirante al trono: Felipe. A lo nueve años, la guerra estalló...;;;;;;;;;x
BM_KOMNENOS_DYNASTY;The Alexiad;L'Alexiade;Die Alexiade;;La Alexiada;;;;;;;;;x
BM_KOMNENOS_DYNASTY_DESC;After a series of devastating losses to invading Turkish forces, the Byzantine Empire is reeling. But there is hope - the great general Alexios Komnenos has just seized the throne from the corrupt Nikephoros III. Alexios - whose life was documented by his daughter Anna in 'the Alexiad' - and his successors would halt the decline of the Empire and push back the Turkish invaders from western Anatolia, buying more time for the ailing remnants of the old Roman Empire. For now, Anatolia is ruled by Suleyman I, a member of the Seljuk dynasty, who arrogantly calls his new state the 'Sultanate of Rum' (Rome).;"Après une série d'échecs consécutifs, en tentant d'anéantir les forces turques, l'Empire byzantin est fragilisé. Mais il reste un espoir : le grand général Alexis Ier Comnène vient de s'emparer du trône occupé jusqu'alors par Nicéphore III, homme d'état corrompu. Alexis, dont la vie a été relatée dans l'Alexiade par sa fille Anne, et ses successeurs ont mis un terme au déclin de l'Empire byzantin et repoussé les envahisseurs turcs de l'Anatolie occidentale, laissant quelque répit à l'ancien Empire romain fort affaibli. À présent, l'Anatolie est dirigée par Soliman Ier, membre de la dynastie seldjoukide, qui a donné le nom arrogant de ""Sultanat de Roum"" (Rome) à son nouvel état.";"Nach einer Reihe von verheerenden Verlusten gegen eindringende türkische Streitkräfte, ist das byzantinische Reich ins Wanken geraten. Aber es gibt Hoffnung - der große Feldherr Alexios Komnenos hat gerade den Thron vom korrupten Nikephoros III ergriffen. Alexios - dessen Leben von seiner Tochter Anna in der 'Alexiade' dokumentiert wird - und seine Nachfolger wollten den Niedergang des Reiches aufhalten und die türkischen Angreifer aus Westanatolien zurückdrängen, um mehr Zeit für die notleidenden Reste des alten römischen Reiches gewinnen zu können. Derzeit herrscht in Anatolien Suleyman I, ein Mitglied der Seldschuken-Dynastie, der arroganterweise seinen neuen Staat das ""Sultanat des Rums"" (Rom) nennt.";;Tras sufrir pérdidas devastadoras ante las fuerzas turcas invasoras, el Imperio Bizantino se tambalea. Pero aún hay esperanza: el gran general Alejo Comneno acaba de hacerse con el trono del corrupto Nicéforo III. Alejo, cuya vida documentó su hija Ana en 'La Alexiada', y sus sucesores detendrían la decadencia del imperio y expulsarían a los invasores turcos de la Anatolia occidental, lo que concedería más tiempo a los frágiles vestigios del antiguo Imperio Romano. Por ahora, Anatolia está bajo el mandato de Suleyman I, miembro de la dinastía Seljuk, quien denomina con arrogancia a su nuevo estado 'Sultanato de Rüm' (Roma).;;;;;;;;;x
BM_THE_LATIN_EMPIRE;The Latin Empire;L'Empire latin;Das lateinische Reich;;El Imperio Latino;;;;;;;;;x
