#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
#b_agricento;Agricento;Agrigente;Agricento;;Agricento;;;;;;;;;x;
#b_amalfi;Amalfi;Amalfi;Amalfi;;Amalfi;;;;;;;;;x;
#b_augsburg;Augsberg;Augsberg;Augsburg;;Augsberg;;;;;;;;;x;
#b_cueta;Cueta;Ceuta;Cueta;;Cuetano;;;;;;;;;x;
#b_gamakh;gamakh;Gamakh;Gamakh;;gamakh;;;;;;;;;x;
#b_harib;harib;Harib;Harib;;harib;;;;;;;;;x;
#b_hyrynsalmi;Hyrynsalmi;Hyrynsalmi;Hyrynsalmi;;Hyrynsalmi;;;;;;;;;x;
#b_jormua;Jormua;Jormua;Jormua;;Jormua;;;;;;;;;x;
#b_kairy;kairy;Kairy;kairy;;kairy;;;;;;;;;x;
#b_kajaani;Kajaani;Kajaani;Kajaani;;Kajaani;;;;;;;;;x;
#b_katzenstein;Katzenstein;Katzenstein;Katzenstein;;Katzenstein;;;;;;;;;x;
#b_kaufbeuren;kaufbeuren;Kaufbeuren;Kaufbeuren;;kaufbeuren;;;;;;;;;x;
#b_kuhmo;Kuhmo;Kuhmo;Kuhmo;;Kuhmo;;;;;;;;;x;
#b_ltava;ltava;Ltava;ltawa;;ltava;;;;;;;;;x;
#b_lvov;Lvov;Lvov;Lwow;;Lvov;;;;;;;;;x;
#b_mecklemburg;Mecklemburg;Mecklembourg;Mecklenburg;;Mecklemburgo;;;;;;;;;x;
#b_oujda;oujda;Oujda;Oujda;;Uchda;;;;;;;;;x;
#b_paltamo;Paltamo;Paltamo;Paltamo;;Paltamo;;;;;;;;;x;
#b_parthenay;parhenay;Parthenay;Parhenay;;parhenay;;;;;;;;;x;
#b_puolanka;Puolanka;Puolanka;Puolanka;;Puolanka;;;;;;;;;x;
#b_ranua;Ranua;Ranua;Ranua;;Ranua;;;;;;;;;x;
#b_suomussalmi;Suomussalmi;Suomussalmi;Suomussalmi;;Suomussalmi;;;;;;;;;x;
#b_szczyrzycz;Szczyrzycz;Szczyrzyc;Szczyrzyc;;Szczyrzycz;;;;;;;;;x;
#c_agrigento_adj;Agrigentian;Agrigentine;Agrigentischer;;Agrigentino;;;;;;;;;x;
#c_aukshayts_adj;Aukshaytsian;Aukshaytsiane;Aukshaytsischer;;Aukshaytsianés;;;;;;;;;x;
#c_avhaz_adj;Avhazian;Avhazienne;Avhazian;;Avhazianés;;;;;;;;;x;
#c_carcassonne_adj;Carcassonnianj;Carcassonnaise;Carcassonner;;Carcasonense;;;;;;;;;x;
#c_euphrates_adj;Euphratian;Euphratienne;Euphratischer;;Eufrateño;;;;;;;;;x;
#c_grassland_cheremisa_adj;Grassland Cheremisian;Cheremis Des Prairies;Cheremisa-Grasland;;Cheremisianés;;;;;;;;;x;
#c_ifni_adj;Ifnian;Ifnienne;Ifnischer;;Ifneño;;;;;;;;;x;
#c_jacwiez_adj;Jacwiezian;Jacwiezienne;Jacwiezischer;;Jacwiezianés;;;;;;;;;x;
#c_kajaneborg_adj;Kajaneborgian;Kajaneborgienne;Kajaneborgischer;;Kajaneborgianense;;;;;;;;;x;
#c_mecklemburg_adj;Mecklemburgian;Mecklembourgeoise;Mecklenburgischer;;Mecklemburgués;;;;;;;;;x;
#c_mesopotamia_adj;Mesopotamian;Mésopotamienne;Mesopotamischer;;Mesopotámico;;;;;;;;;x;
#c_mountain_cheremisa_adj;Mountain Cheremisian;Cheremis Des Montagnes;Cheremisa-Gebirge;;Montaña Cheremia;;;;;;;;;x;
#c_orava_adj;Oravian;Oravienne;Oraver;;Oravanés;;;;;;;;;x;
#c_saris_adj;Sarisian;Sarisienne;Sarisischer;;Sarisiano;;;;;;;;;x;
#c_sudovia_adj;Sudovian;Sudovienne;Sudovian;;Sudovianés;;;;;;;;;x;
#c_syria_adj;Syrian;Syrienne;Syrischer;;Sirio;;;;;;;;;x;
#c_tadmor_adj;Tadmorian;Tadmoriane;Tadmorischer;;Tadmoriano;;;;;;;;;x;
#c_tharasset_adj;Tharassetian;Tharassetienne;Tharasseter;;Tharassetano;;;;;;;;;x;
#d_amman;Damman;Damman;Damman;;Damaní;;;;;;;;;x;
#d_amman_adj;Dammani;Dammani;Dammaner;;Damaní;;;;;;;;;x;
#d_aquitaine_adj;Aquitainian;Aquitaine;Aquitainer;;Aquitainiano;;;;;;;;;x;
#d_austria;Austria;Autriche;Österreich;;Austria;;;;;;;;;x;
#d_austria_adj;Austrian;Autrichienne;Österreichischer;;Austriaca;;;;;;;;;x;
#d_mazandaran_adj;Tabaristani;Tabaristanaise;Tabaristanischer;;Tabaristaní;;;;;;;;;x;
#d_mecklemburg;Mecklemburg;Mecklembourg;Mecklenburg;;Mecklemburgo;;;;;;;;;x;
#d_mecklemburg_adj;Mecklemburgian;Mecklembourgeoise;Mecklenburgischer;;Mecklemburgués;;;;;;;;;x;
#d_novgorod-seversk;Novgorod-Seversk;Novgorod-Seversky;Nowgorod-Sewersk;;Novgorod-Seversk;;;;;;;;;x;
#d_novgorod-seversk_adj;Novgorod-Severskian;Novgorod-Severskienne;Nowgorod-Sewerskischer;;Novgorodserverskianés;;;;;;;;;x;
#d_pommerania;Pommerania;Poméranie;Pommern;;Pomerania;;;;;;;;;x;
#d_pommerania_adj;Pommeranian;Poméranienne;Pommerscher;;Pomerano;;;;;;;;;x;
b_aabenraa;Abenrå;Abenrå;Abenrå;;Abenrá;;;;;;;;;x;
b_aachen;Aachen;Aix-La-Chapelle;Aachen;;Aquisgrán;;;;;;;;;x;
b_aadel;Aadel;;;;;;;;;;;;;x;
b_aakirkeby;Åkirkeby;Åkirkeby;Åkirkeby;;Akirkeby;;;;;;;;;x;
b_aalborg;Aalborg;Aalborg;Aalborg;;Aalborg;;;;;;;;;x;
b_aalst;Aalst;Alost;Aalst;;Aalst;;;;;;;;;x;
b_aardenburg;Aardenburg;Aardenburg;Aardenburg;;Aardemburgo;;;;;;;;;x;
b_aargau;Aargau;Argovie;Aargau;;Aargau;;;;;;;;;x;
b_aarhus;Aarhus;Aarhus;Aarhus;;Arhus;;;;;;;;;x;
b_aarschot;Aarschot;Aarschot;Aarschot;;Aarschot;;;;;;;;;x;
b_abaatha;Abaatha;Abaatha;Abaatha;;Abaatha;;;;;;;;;x;
b_abadan;Abadan;Abadan;Abadan;;Abadán;;;;;;;;;x;
b_abadeh;Abadeh;Abadeh;Abadeh;;Abadeh;;;;;;;;;x;
b_abakan;Abakan;;;;;;;;;;;;;x;
b_abanhagari;Abanhagari;;;;;;;;;;;;;x;
b_abarda;Abarda;Abarda;Abarda;;Abarda;;;;;;;;;x;
b_abarkawan;Abarkawan;Abarkawan;Abarkawan;;Abarkawan;;;;;;;;;x;
b_abarkuh;Abarkuh;Abarkuh;Abarkuh;;Abarkuh;;;;;;;;;x;
b_abasan;Abasan;Abasan;Abasan;;Abasan;;;;;;;;;x;
b_abauj;Abaúj;Abaúj;Abaúj;;Abaúj;;;;;;;;;x;
b_abbayedemortemer;Abbaye de Mortemer;Abbaye de Mortemer;Abbaye de Mortemer;;Abbaye de Mortemer;;;;;;;;;x;
b_abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;Abbeit;x;
b_abdanan;Abdanan;Abdanan;Abdanan;;Abdanan;;;;;;;;;x;
b_abdannabi;Abd an Nabi;Abd An Nabi;Abd an Nabi;;Abd an Nabi;;;;;;;;;x;
b_abdelliya;Abdelliya;Abdelliya;Abdelliya;;Abdelliya;;;;;;;;;x;
b_abercorn;Abercorn;Abercorn;Abercorn;;Abercorn;;;;;;;;;x;
b_aberdeen;Aberdeen;Aberdeen;Aberdeen;;Aberdeen;;;;;;;;;x;
b_aberffraw;Aberffraw;Aberffraw;Aberffraw;;Aberffraw;;;;;;;;;x;
b_abergavenny;Abergavenny;Abergavenny;Abergavenny;;Abergavenny;;;;;;;;;x;
b_abernethy;Abernethy;Abernethy;Abernethy;;Abernethy;;;;;;;;;x;
b_abeshkan;Abeshkan;Abeshkan;Abeschkan;;Abeshkan;;;;;;;;;x;
b_abeyek;Abeyek;Abyek;Abeyek;;Abeyek;;;;;;;;;x;
b_abha;Abha;Abha;Abha;;Abha;;;;;;;;;x;
b_abhar;Abhar;Abhar;Abhar;;Abhar;;;;;;;;;x;
b_abingdon;Abingdon;Abingdon;Abingdon;;Abingdon;;;;;;;;;x;
b_abiward;Abiward;Abiward;Abiward;;Abiward;;;;;;;;;x;
b_abohar;Abohar;;;;;;;;;;;;;x;
b_aboniteichos;Aboniteichos;Aboniteichos;Aboniteichos;;Aboniteichos;;;;;;;;;x;
b_abqaiq;Abqaoq;Abqaiq;Abqaoq;;Abqaoq;;;;;;;;;x;
b_abrahamtelke;Ábrahámtelke;Ábrahámtelke;Ábrahámtelke;;Ábrahámtelke;;;;;;;;;x;
b_abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;Abri;x;
b_abrudbanya;Abrudbánya;Abrudbánya;Abrudbánya;;Abrudbánya;;;;;;;;;x;
b_abs;Abs;Abs;Abs;;Abs;;;;;;;;;x;
b_absheron;Absheron;Absheron;Absheron;;Absheron;;;;;;;;;x;
b_abu_musa;Abu Musa;Abu Musa;Abu Musa;;Abu Musa;;;;;;;;;x;
b_abu_ujayyijat;Abu Ujayyijat;Abu Ujayyijat;Abu Ujayyijat;;Abu Ujayyijat;;;;;;;;;x;
b_abualhasan;Abu-al-Hasan;Abu-Al-Hasan;Abu-al-Hasan;;Abu-al-Hasan;;;;;;;;;x;
b_abuaweigila;Abu-Aweigila;Abu Aweigila;Abu-Aweigila;;Abu-Aweigila;;;;;;;;;x;
b_abudis;Abu Dis;Abu Dis;Abu Dis;;Abu Dis;;;;;;;;;x;
b_abughorob;Abu Ghorob;Abu Ghorob;Abu Ghorob;;Abu Ghorob;;;;;;;;;x;
b_abughusun;Abu Ghusun;Abu Ghusun;Abu Ghusun;;Abu Ghusun;;;;;;;;;x;
b_abuhadi;Abu Hadi;Abu Hadi;Abu Hadi;;Abu Hadi;;;;;;;;;x;
b_abuhadriya;Abu Hadriya;Abu Hadriya;Abu Hadriya;;Abu Hadriya;;;;;;;;;x;
b_abukamal;Abu Kamal;Al Bukamal;Abu Kamal;;Abu Kamal;;;;;;;;;x;
b_abukir;Abukir;Abukir;Abukir;;Abukir;;;;;;;;;x;
b_abuminqar;Abu Minqar;Abu Minqar;Abu Minqar;;Abu Minqar;;;;;;;;;x;
b_abunujaym;Abu Nujaym;Abu Nujaym;Abu Nujaym;;Abu Nujaym;;;;;;;;;x;
b_aburowash;Abu Rowash;Abu Rowash;Abu Rowash;;Abu Rowash;;;;;;;;;x;
b_abusir;Abusir;Abusir;Abusir;;Abusir;;;;;;;;;x;
b_abuzqayqa;Abu-Zqayqa;Abu-Zqayqa;Abu-Zqayqa;;Abu-Zqayqa;;;;;;;;;x;
b_abyaneh;Abyaneh;Abyaneh;Abyaneh;;Abyaneh;;;;;;;;;x;
b_abydos;Abydos;Abydos;Abydos;;Abidos ;;;;;;;;;x;
b_acalapura;Acalapura;;;;;;;;;;;;;x;
b_acenzera;Acenzera;Acenzera;Acenzera;;Acenzera;;;;;;;;;x;
b_acerno;Acerno;Acerno;Acerno;;Acerno;;;;;;;;;x;
b_acerra;Acerra;Acerra;Acerra;;Acerra;;;;;;;;;x;
b_achalgarh;Achalgarh;;;;;;;;;;;;;x;
b_achim;Achim;Achim;Achim;;Achim;;;;;;;;;x;
b_achit;Achit;Achit;Achit;;Achit;;;;;;;;;x;
b_acores;Açores;Açores;Açores;;Azores;;;;;;;;;x;
b_acqui;Acqui;Acqui;Acqui;;Acqui;;;;;;;;;x;
b_acre;Acre;Acre;Akkon;;Acre;;;;;;;;;x;
b_acroma;Acroma;Acroma;Acroma;;Acroma;;;;;;;;;x;
b_adam;Adam;Adam;Adam;;Adam;;;;;;;;;x;
b_adamclisi;Adamclisi;Adamclisi;Adamclisi;;Adamclisi;;;;;;;;;x;
b_adana;Adana;Adana;Adana;;Adana;;;;;;;;;x;
b_adapazari;Adapazari;Adapazari;Adapazari;;Adapazari;;;;;;;;;x;
b_adar;Adar;;;;;;;;;;;;;x;
b_adare;Adare;Adare;Adare;;Adare;;;;;;;;;x;
b_adavani;Adavani;;;;;;;;;;;;;x;
b_addanki;Addanki;;;;;;;;;;;;;x;
b_adelon;Adelon;Adelon;Adelon;;Adelon;;;;;;;;;x;
b_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x;
b_adenna;Adenna;Adenna;Adenna;;Adenna;;;;;;;;;x;
b_adhaman;Adhaman;Adhaman;Adhaman;;Adhaman;;;;;;;;;x;
b_adhiwala;Adhiwala;;;;;;;;;;;;;x;
b_adi_ramets;Adi Ramets;Adi Ramets;Adi Ramets;;Adi Ramets;;;;;;;;;x;
b_adigrat;Adigrat;Adigrat;Adigrat;;Adigrat;;;;;;;;;x;
b_adinapur;Adinapur;;;;;;;;;;;;;x;
b_adinatha_mandir;Adinatha Mandir;;;;;;;;;;;;;x;
b_adony;Adony;Adony;Adony;;Adony;;;;;;;;;x;
b_adra;Adra;Adra;Adra;;Adra;;;;;;;;;x;
b_adramyttion;Adramyttion;Adramyttion;Adramyttion;;Adramyttion;;;;;;;;;x;
b_adraskan;Adraskan;Adraskan;Adraskan;;Adraskan;;;;;;;;;x;
b_adrastea;Adrastea;Adrastea;Adrastea;;Adrastea;;;;;;;;;x;
b_adria;Adria;Adria;Adria;;Adria;;;;;;;;;x;
b_adrianopolis;Adrianopolis;Adrinople;Adrianopolis;;Adrianópolis;;;;;;;;;x;
b_adrianutherai;Adrianutherai;Hadrianouthérai;Adrianutherai;;Adrianutherai;;;;;;;;;x;
b_adulis;Adulis;Adulis;Adulis;;Adulis;;;;;;;;;x;
b_adwa;Adwa;Adwa;Adwa;;Adwa;;;;;;;;;x;
b_aegae;Aegae;Aigéai;Aigai;;Aegae;;;;;;;;;x;
b_aegyssus;Aegyssus;Aegyssus;Aegyssus;;Aegyssus;;;;;;;;;x;
b_aetos;Aetos;Aetos;Aetos;;Aetos;;;;;;;;;x;
b_aezani;Aezani;Aezani;Aezani;;Aezani;;;;;;;;;x;
b_afambo;Afambo;Afambo;Afambo;;Afambo;;;;;;;;;x;
b_affat;Affat;Affat;Affat;;Affat;;;;;;;;;x;
b_afif;Afif;Afif;Afif;;Afif;;;;;;;;;x;
b_afoninskaya;Afoninskaya;Afoninskaya;Afoninskaja;;Afoninskaya;;;;;;;;;x;
b_afra;Afra;Afra;Afra;;Afra;;;;;;;;;x;
b_afragola;Afragola;Afragola;Afragola;;Afragola;;;;;;;;;x;
b_afrasiyab;Afrasiyab;Afrasiab;Afrasiab;;Afrasiyab;;;;;;;;;x;
b_aftout;Aftout;Aftout;Aftout;;Aftout;;;;;;;;;x;
b_agades;Agades;Agadez;Agades;;Agades;;;;;;;;;x;
b_agadir;Agadir;Agadir;Agadir;;Agadir;;;;;;;;;x;
b_agalpur;Agalpur;;;;;;;;;;;;;x;
b_agar;Agar;Agar;Agar;;Agar;;;;;;;;;x;
b_agarak;Agarak;;;;;;;;;;;;;x;
