#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_RoI_10003;My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetPossPronoun] old friends and family, even naming many correctly.;Notre [GetFromRelation] montre tous les signes de la réincarnation de notre [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Notre [From.GetFirstName] parle souvent de ses anciens amis et de son ancienne famille, jusqu'à en connaître leur noms.;Mein geliebter [GetFromRelation] weist alle Anzeichen dafür auf, dass er mein wiedergeborener [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName] ist. Klein-[From.GetFirstName] spricht oft von [From.GetPossPronoun] alten Freunden und Verwandt;; mi amado [GetFromRelation] está mostrando todos los signos de ser mi renacido/a [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. El pequeño/a [From.GetFirstName] a menudo habla de [From.GetPossPronoun] viejos amigos y familiares, incluso nombrando a muchos de ellos correctamente.;;;;;;;;;x
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;En raison de ses territoires outre-mer, nos états possèdent un bon nombre de navire marchands que nous pouvons mobiliser en temps de guerre. Évidemment, cela a un prix...;Aufgrund von Liegenschaften in Übersee floriert in meinem Reich die Handelsschiffahrt, deren Schiffe in Kriegszeiten zwangsverpflichtet werden können - gegen eine stattliche Summe Gold, versteht sich…;; Con propiedades en el extranjero, mi reino tiene gran parte de la marina mercante que puede ser reclutada en tiempos de guerra - por una buena suma de oro, por supuestoÉ;;;;;;;;;x
merchants_unhappy;The merchants are unhappy;Les commerçants sont mécontents;Die Händler sind unzufrieden.;; Los comerciantes no están contentos.;;;;;;;;;x
realm_jains_upset;Jains in your realm are upset.;Les jaïns qui vivent sur mes terres sont en colère.;Die Jainisten in Eurem Reich sind unzufrieden.;; Los jainistas de tu reino están molestos.;;;;;;;;;x
gambler;Gambler;Joueur;Spieler;; Jugador;;;;;;;;;x
opinion_sacrilege;Sacrilegous Acts;Actes sacrilèges;Frevlerische Taten;; Actos sacrílegos;;;;;;;;;x
sacrilege_tooltip;This sacrilege will be widely known.;Tout le monde sera informé de ce sacrilège.;Dieser Frevel wird weithin bekannt werden.;; Este sacrilegio será ampliamente conocido.;;;;;;;;;x
become_samrat_chakravartin;Become Samrat Chakravartin;Devenir Samrat Chakravartin;Werdet zum Samrat Chakravartin;; Convertirse a Samrat Chakravartin;;;;;;;;;x
become_samrat_chakravartin_desc;An Indian ruler who manages to emulate Ashoka the Great and unite all the lands of India under [Root.GetHerHis] rule may claim the title of Samrat Chakravartin, Emperor of Emperors. This title embodies the concept of the ideal and universal world ruler in Indian tradition. Claiming it is a hard task, but living up to it may be even harder...;Un dirigeant indien qui parvient à s'inspirer d'Ashoka le Grand et qui unifiera toutes les terres de l'Inde sous [Root.GetHerHis] joug pourra réclamer le titre de Samrat Chakravartin, Empereur des empereurs. Ce titre recouvre le concept du souverain universel idéal dans la tradition indienne. S'en emparer n'est pas chose facile, mais en être réellement à la hauteur est encore plus dur...;Ein indischer Herrscher, der es schafft, es Ashoka dem Großen gleichzutun und unter [Root.GetHerHis]er Herrschaft alle indischen Staaten zu vereinigen, darf sich mit dem Titel Samrat Chakravartin schmücken, dem Kaiser aller Kaiser. Dieser Titel verkörpert;; Un gobernante indio que logra emular a Ashoka el Grande y unir todas las tierras de la India bajo [Root.GetHerHis] gobierno puede reclamar el título de Samrat Chakravartin, Emperador de Emperadores. Este título personifica el concepto del gobernante ideal y universal del mundo en la tradición india. Es una tarea difícil, pero estar a la altura puede ser aún más difícil...;;;;;;;;;x
TRAIT_OPINION_SPOUSE;Spouse Opinion: $VALUE$;Opinion du conjoint : $VALUE$;Meinung des Ehepartners: $VALUE$;;Opinión de cónyuge: $VALUE$;;;;;;;;;x
TRAIT_OPINION_SEX_APPEAL;Attraction Opinion: $VALUE$;Opinion sur le charisme : $VALUE$;Attraktionsmeinung: $VALUE$;;Opinión de atracción: $VALUE$;;;;;;;;;x
TRAIT_OPINION_DYNASTY;Dynasty Opinion: $VALUE$;Opinion de la dynastie : $VALUE$;Meinung der Dynastie: $VALUE$;;Opinión de dinastía: $VALUE$;;;;;;;;;x
TRAIT_OPINION_VASSAL;Vassal Opinion: $VALUE$;Opinion des vassaux : $VALUE$;Meinung der Vasallen: $VALUE$;;Opinión de vasallo: $VALUE$;;;;;;;;;x
TRAIT_OPINION_LIEGE;Liege Opinion: $VALUE$;Opinion du seigneur : $VALUE$;Meinung des Lehnsherren: $VALUE$;;Opinión de señor feudal: $VALUE$;;;;;;;;;x
TRAIT_OPINION_INFIDEL;Other Faith Opinion: $VALUE$;Opinion d'une autre religion :  $VALUE$;Meinung anderer Glaubensanhänger: $VALUE$;;Opinión de otra creencia: $VALUE$;;;;;;;;;x
TRAIT_OPINION_SAME_TRAIT;Same Trait Opinion: $VALUE$;Opinion d'une personnalité similaire : $VALUE$;Meinung durch gleiche Merkmale: $VALUE$;;Opinión de la misma característica: $VALUE$;;;;;;;;;x
TRAIT_OPINION_OPPOSITE_TRAIT;Opposite Trait Opinion: $VALUE$;Opinion d'une personnalité opposée : $VALUE$;Meinung durch entgegengesetzte Merkmale: $VALUE$;;Opinión de característica opuesta: $VALUE$;;;;;;;;;x
TRAIT_OPINION_AMBITION;Ambition Opinion: $VALUE$;Opinion sur l'ambition : $VALUE$;Meinung durch Ambition: $VALUE$;;Opinión de ambición: $VALUE$;;;;;;;;;x
alert_demesne_too_big_instant;§YDemense too Big§!;§YTrop de possessions§!;§YDomäne zu groß§!;;¡Heredad demasiado grande! ;;;;;;;;;x
alert_demesne_too_big_delayed;Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation, troop recruitment and resentment among your vassals.;Vos possessions comportent §Y$NUM$§!/§Y$MAX$§! régions, ce qui affecte le prélèvement de l'impôt et le recrutement des troupes, et cause un ressentiment parmi vos vassaux.;Eure Domäne enthält §Y$NUM$§!/§Y$MAX$§! Liegenschaften, wodurch die Besteuerung und die Truppenaushebung ineffizient sind und und Unmut unter Euren Vassallen verursacht wird.;;¡Tu heredad tiene §Y$NUM$§!/§Y$MAX$§! propiedades, causando tributación ineficiente, reclutamiento de tropas y resentimiento entre tus vasallos.;;;;;;;;;x
