#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
FILTER_SAME_REL;My Religion;Ma religion;Meine Religion;;Mi religión;;;;;;;;;x
FILTER_SAME_REL_GROUP;My Religion Group;Mon groupe religieux;Meine Religionsgruppe;;Mi grupo religioso;;;;;;;;;x
FILTER_NOT_SAME_REL;Not My Religion;Pas de ma religion;Nicht meine Religion;;No es mi religión;;;;;;;;;x
FILTER_NOT_SAME_REL_GROUP;Not My Religion Group;Pas de mon groupe religieux;Nicht meine Religionsgruppe;;No es mi grupo religioso;;;;;;;;;x
FILTER_ANY_REL;Any Religion;N'importe quelle religion;Beliebige Religion;;Cualquier religión;;;;;;;;;x
FILTER_SAME_CUL;My Culture;Ma culture;Meine Kultur;;Mi cultura;;;;;;;;;x
FILTER_SAME_CUL_GROUP;My Culture Group;Mon groupe culturel;Meine Kulturgruppe;;Mi grupo cultural;;;;;;;;;x
FILTER_NOT_SAME_CUL;Not My Culture;Pas de ma culture;Nicht meine Kultur;;No es mi cultura;;;;;;;;;x
FILTER_ANY_CUL;Any Culture;N'importe quelle culture;Beliebige Kultur;;Cualquier cultura;;;;;;;;;x
FILTER_NOT_SAME_CUL_GROUP;Not My Culture Group;Pas de mon groupe culturel;Nicht meine Kulturgruppe;;No es mi grupo cultural;;;;;;;;;x
temple_baron_jewish;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_samaritan;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
temple_baron_karaite;Rabbi;Rabbin;Rabbiner;;Rabino;;;;;;;;;x
TITLE_CREATION_TEMPORARY_TITLE;Neither temporary title holders nor their vassals can create any titles;Les détenteurs d'un titre temporaire ou leurs vassaux ne peuvent créer de titres.;Besitzer oder Vasallen eines temporären Titels können keine Titel erschaffen.;;Ni los poseedores de títulos temporales ni sus vasallos pueden crear títulos.;;;;;;;;;x
TEMP_T_HOLDER_CANT_DESTROY_T;Neither temporary title holders nor their vassals can destroy any titles;Les détenteurs d'un titre temporaire ou leurs vassaux ne peuvent détruire de titres.;Besitzer oder Vasallen eines temporären Titels können keine Titel zerstören.;;Ni los poseedores de títulos temporales ni sus vasallos pueden destruir títulos.;;;;;;;;;x
RETTYPE_CUL_NUBIAN;Nubian Archers;Archers nubiens;Nubische Bogenschützen;;Arqueros Nubios;;;;;;;;;x
ca_culture_nubian_1;Nubian Warrior Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
