#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
REBEL_TITLE;[Recipient.PrimaryTitle.GetAdjective] Revolt;Rébellion [Recipient.PrimaryTitle.GetAdjective];;;;;;;;;;;;x
opinion_rebel_leader;Leader of the Rebellion;Chef de la rébellion;;;;;;;;;;;;x
TITLE_HAS_NO_HOLDER;Cannot Revoke as this Title has no Holder.;Il est impossible de révoquer un titre n'étant pas détenu.;;;;;;;;;;;;x
hindu;Hindu;Hindou;;;;;;;;;;;;x
hindu_DESC;Hinduism is not a single religion so much as a blanket term for the successor faiths of ancient Indian polytheism as recorded in the Vedas. The existence of many different sects within Hinduism - as well as millennia of relatively peaceful co-existence with Jainism and Buddhism - has made the Hindu faith remarkably tolerant and pluralistic toward all Indian religions. Still, it is the most warlike of the three.;L'hindouisme n'est pas une religion unique mais plutôt un terme générique regroupant les religions descendant du polythéisme ancestral en Inde tel que consigné dans les Védas. L'existence de nombreuses sectes au sein de l'hindouisme, ainsi que des millénaires de coexistence relativement pacifique avec le jaïnisme et le bouddhisme, a donné à l'hindouisme son caractère remarquablement tolérant et pluraliste envers toutes les religions indiennes. Cependant, il s'agit de la religion la plus belliqueuse des trois. Caractéristiques en jeu :\n§Y*§! Pas de chef religieux\n§Y*§! Grande importance des caractéristiques de caste\n§Y*§! Peut déclarer des guerres de subjugation contre toutes les autres religions indiennes\n§Y*§! Peut piller les pays voisins contrôlés par d'autres religions\n§Y*§! Peut déclarer des guerres saintes contre des religions non indiennes\n§Y*§! Difficulté à convertir les régions dominées par le bouddhisme ou le jaïnisme;;;;;;;;;;;;x
jain;Jain;Jaïnite;;;;;;;;;;;;x
sympathy_indian_desc;This character, though neither Hindu, Buddhist or Jain, has a special sympathy and understanding for the Indian faiths and their practitioners.;Ce personnage, bien qu'il ne soit pas hindou, bouddhiste ou jaïn, montre une sympathie et une compréhension envers les cultes indiens et leurs adeptes.;;;;;;;;;;;;x
nestorian_DESC;Nestorianism is an early Christian branch which states that Christ has two separate natures - one divine and one human. This is the opposite of the Monophysite position where Christ has but a single nature. The nominal head of the Nestorian Church is the Patriarch of the East.;Le nestorianisme est une branche du christianisme primitif qui déclare que le Christ possède deux natures séparées, l'une divine et l'autre humaine. Elle est à l'opposé de la position monophysite pour laquelle le Christ possède une nature unique. La personne à la tête de l'Église nestorienne est le patriarche de l'Est. Caractéristiques en jeu :\n§Y*§! Il existe toujours un patriarche de l'Est, même si Antioche tombe\n§Y*§! Multiples patriarches : les cinq pentarques et les patriarches autocéphales sous contrôle des rois\n§Y*§! Les patriarches peuvent accorder le divorce\n§Y*§! Le patriarche de l'Est peut accorder des casus belli d'invasion\n§Y*§! Les patriarches peuvent excommunier des personnages nestoriens;;;;;;;;;;;;x
paulician;Paulician;paulicien;;;;;;;;;;;;x
paulician_DESC;Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia. In the game, it is treated as an Orthodox heresy.;Le paulicianisme est une hérésie gnostique chrétienne influencée par le manichéisme et qui trouve ses origines en Arménie. En jeu, le paulicianisme est traité comme une hérésie orthodoxe. Caractéristiques en jeu :\n§Y*§! Il existe toujours un patriarche paulicien, même si Constantinople tombe\n§Y*§! Multiples patriarches : les cinq pentarques et les patriarches autocéphales sous contrôle des rois\n§Y*§! Les patriarches peuvent accorder le divorce\n§Y*§! Le patriarche de l'Est peut accorder des casus belli d'invasion\n§Y*§! Les patriarches peuvent excommunier des personnages pauliciens;;;;;;;;;;;;x
d_paulician;The Paulician Patriarchate;Ligue paulicienne;;;;;;;;;;;;x
d_paulician_adj;Paulician;paulicien;;;;;;;;;;;;x
c_lori_adj;Lorian;lorien;;;;;;;;;;;;x
messalian;Messalian;messalien;;;;;;;;;;;;x
messalian_DESC;"The Messalians, or Euchites (""Those who Pray""), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practised by the children of Adam and Eve. They have no formal rites and no strict church hierarchy.";Les messaliens, ou euchites (''ceux qui prient'') sont une secte hérétique issue du christianisme qui trouve ses origines en Mésopotamie, influencée par des fois dualistiques comme le zoroastrisme. Les messaliens croient que Dieu peut être perçu par les cinq sens et que cette perception est nécessaire pour atteindre la perfection. Chacun est né avec un démon intérieur et seule la prière intense permet de le chasser. Ils croient également que Lucifer est le fils aîné de Dieu et qu'il est une force bénéfique. Pour eux, l'inceste est sacré car il a été pratiqué par les enfants d'Adam et Eve. Ils ne possèdent ni rites officiels ni structure hiérarchique stricte. Caractéristiques en jeu :\n§Y*§! Pas de chef religieux\n§Y*§! Les messaliens peuvent nommer des femmes prêtres\n§Y*§! Les souverains peuvent épouser de proches parents pour améliorer l'opinion de leur vassaux;;;;;;;;;;;;x
PAULICIAN_PATRIARCH;Paulician Patriarch;Patriarche chrysochère;;;;;;;;;;;;x
d_saint_addai_adj;Addaian;thaddéen;;;;;;;;;;;;x
title_guru;Court Guru;Gourou de cour;;;;;;;;;;;;x
