#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
title_appointed_regent;Designated Regent;Garde des Sceaux;;;;;;;;;;;;x
title_appointed_regent_desc;This character will become the Regent if one is needed.;Cette dignité comprend de conserver le grand sceau, par lequel les proclamations du souverain deviennent loi. Détenir les sceaux permet d'administrer le domaine, même en l'absence ou incapacité du souverain.;;;;;;;;;;;;x
INTERACTION_REQ_REC_IS_DJ_LIEGE_OR_ADJ;§Y[Recipient.GetTitledFirstName]§! must be a neighbor or the De Jure liege of my Capital;[Recipient.GetBestName] doit être soit un voisin, soit le suzerain de jure de ma capitale.;;;;;;;;;;;;x
WELCOME_TEXT;In the game, you can play as any medieval ruler at any point in time, from a lowly count to a great emperor. When your character dies, you will need an heir to take over, and so on, down the ages. Unlike most other games, the starting situation is historical - and thus completely unbalanced. Check the estimated difficulty of a ruler before you start playing!;En jeu, il vous est possible de jouer une myriade de dirigeants médiévaux à partir de n'importe quel point de l'Histoire, des comtes les plus modestes aux empereurs les plus puissants. À la mort de votre personnage, vous aurez besoin d'un héritier pour lui succéder, et ainsi de suite, durant le reste du Moyen-Âge. Contrairement à la plupart des jeux de ce type, votre situation en début de partie cherche à être historique - et donc pas nécessairement jouable ! Portez une attention particulière est l'estimé de la difficulté avant de vous lancer.;;;;;;;;;;;;x
tribal_duke_female;High Chieftess;Grande Cheftaine;;;;;;;;;;;;x
tribal_duchy_of;High Chiefdom of;Tribu de;;;;;;;;;;;;x
tribal_duchy_of_norse;Jarldom of;Chefferie de;;;;;;;;;;;;x
tribal_county_of_west_african;Sheikhdom of;Kafo de;;;;;;;;;;;;x
tribal_county_west_african;Sheikhdom;Kafo;;;;;;;;;;;;x
tribal_duchy_of_west_african;Emirate of;Dyamani de;;;;;;;;;;;;x
tribal_duchy_west_african;Emirate;Dyamani;;;;;;;;;;;;x
tribal_king_female_west_african;Sultana;Mansana;;;;;;;;;;;;x
tribal_kingdom_of_west_african;Sultanate of;Manden de;;;;;;;;;;;;x
tribal_kingdom_west_african;Sultanate;Manden;;;;;;;;;;;;x
d_yatviags;Yatvingia;Sudoviens;;;;;;;;;;;;x
d_pechenegs;Pecheneg;Petchénègues;;;;;;;;;;;;x
action_settle_tribe;Settle Tribe;Fixer notre peuple;;;;;;;;;;;;x
action_settle_tribe_desc;Assign your [GetTreasurerName] to settle members of your tribe in the county, increasing the chance that its culture will change to §Y[Culture.GetName]§!.;Confier à votre [GetTreasurerName] la tâche de favoriser l'implantation de tribus dans cette contrée, ce qui augmente les chances qu'elle adopte la culture §Y[Culture.GetName]§!.;;;;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NORMAL;[From.GetTitledName] [From.GetDeathReason] on [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], succeeded to the throne of the [From.PrimaryTitle.GetTier] with a grand ceremony in [Root.Capital.Capital.GetName].;[From.GetTitledName] [From.GetDeathReason] le [GetDateText]. [From.GetPossPronounCap] [GetFromReverseRelation], [Root.GetFirstName], lui succède à la tête du [From.PrimaryTitle.GetTier] au terme d'une grande cérémonie à [Root.Capital.Capital.GetName].;;;;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;On [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;Le [GetDateText], [From.GetTitledName] [From.GetDeathReason]. [From.GetSubjectPronounCap] a comme successeur [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de confession [Root.Religion.GetGroupName] [Root.Religion.GetName].;;;;;;;;;;;;x
