#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
vice_royalty_baron_female;Baron Vicereine;Baillie;;;;;;;;;;;;x
vice_royalty_count_female;Count Vicereine;Vicomtesse;;;;;;;;;;;;x
vice_royalty_duke_female;Minor Vicereine;Comtesse palatine;;;;;;;;;;;;x
vice_royalty_king_female;Vicereine;Princesse palatine;;;;;;;;;;;;x
vice_royalty_emperor_female;Grand Vicereine;Césarée;;;;;;;;;;;;x
vice_royalty_duke_byzantine;Strategos;Stratège;;;;;;;;;;;;x
vice_royalty_emperor_byzantine;Grand Exarch;Synbasileus;;;;;;;;;;;;x
vice_royalty_empire_of_byzantine;Grand Exarchate of;Autocratie de;;;;;;;;;;;;x
CHRONICLE_AVOID_IMPRISON_WAR;[Root.GetTitledNameWithNick] narrowly escaped imprisonment by [From.GetTitledNameWithNick] and was forced to raise [Root.GetHerHis] flag in rebellion.;[From.GetTitledNameWithNick] a ordonné l'emprisonnement de [Root.GetTitledNameWithNick], qui n'a eu d'autre choix que de lever l'étendard de la rébellion.;;;;;;;;;;;;x
CHRONICLE_FAILED_IMPRISON_WAR;[Root.GetTitledNameWithNick] tried but failed to imprison [From.GetTitledNameWithNick], causing [From.GetHerHim] to come out in open rebellion.;[Root.GetTitledNameWithNick] n'est pas parvenu à incarcérer [From.GetTitledNameWithNick], qui vient de se déclarer rebelle.;;;;;;;;;;;;x
CHRONICLE_INHERIT_MAJOR_TITLE;[Root.GetDynName] inherited the [From.GetName] from [FromFrom.GetDynName].;[Root.GetDynName] a hérité du (de la) [From.GetName] de [FromFrom.GetDynName].;;;;;;;;;;;;x
