#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
adopt_wolf_child;The child is adopted with full right of inheritance.;L'enfant est adopté et pleinement légitimé.;;;;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_TITLE;Form a Blood Oath;Devenir frères de sang;;;;;;;;;;;;x
HAS_BLOOD_OATH_WITH;Has a Blood Oath with §Y$CLAN$§!;Est frère de sang avec les §Y$CLAN$§!;;;;;;;;;;;;x
NOT_HAS_BLOOD_OATH_WITH;Do not have a Blood Oath with §Y$CLAN$§!;N'est pas frère de sang avec les §Y$CLAN$§!;;;;;;;;;;;;x
declare_feud;Declare Feud;Porter querelle;;;;;;;;;;;;x
EVTDESCHL10;With the death of [From.GetBestName] our blood oath with his family and our obligation to his people vanishes together with his life.;Avec la mort de [From.GetBestName], le serment unissant nos familles se délie, nous libérant de toutes obligations envers eux.;;;;;;;;;;;;x
alert_inefficent_land_management_instant;§YInefficient Land Management§!;§Ymauvaise gestion des terres§!;;;;;;;;;;;;x
alert_inefficent_land_management_delayed;You have too many holdings in your personal demesne. As a nomad you can only have one holding without penalties. However you might want to keep the land yourself so you can pillage it...$LIST$;Votre domaine personnel est trop grand. En tant que nomade, vous ne pouvez détenir qu'un fief sans pénalité. Toutefois, vous pourriez vouloir conserver ces terres à votre main afin de pouvoir les piller à loisir...;;;;;;;;;;;;x
plot_gain_title_short;Plot to Acquire;Complot pour obtenir;;;;;;;;;;;;x
plot_gain_vassal_title_short;Plot to Revoke;Complot pour révoquer;;;;;;;;;;;;x
plot_kill_character_short;Plot to Kill;Complot pour tuer;;;;;;;;;;;;x
plot_kill_spouse_short;Plot to Kill;Complot pour tuer;;;;;;;;;;;;x
plot_gain_liege_title_short;Plot for Claim;Complot pour revendiquer;;;;;;;;;;;;x
plot_gain_fellow_vassal_title_short;Plot for Claim;Complot pour revendiquer;;;;;;;;;;;;x
INTERACTION_HAS_TITLES_TO_REVOKE;Has Titles that can be Revoked;Détient des titres pouvant être révoqués;;;;;;;;;;;;x
MINOR_CLAN_REVOLT;[Root.County.GetAdjective] Minor Clan Rising;Soulèvement d'un clan local [Root.County.GetAdjective];;;;;;;;;;;;x
succ_nomadic_desc;Among the peoples of the steppe, Prestige alone determines the line of succession. Legitimate children and siblings of the current ruler are eligible, but, unlike other forms of succession, only adults of the right culture can inherit.;Chez le peuple de la Steppe, le prestige est la seule source de légitimité. Les enfants et la fratrie du dirigeant actuel font partie de la ligne de succession, mais seulement les adultes de la même culture sont en mesure d'hériter des titres.;;;;;;;;;;;;x
STAT_CULTURE_PROV_DESC;This is the majority culture in this county.;Culture principale du comté.;;;;;;;;;;;;x
STAT_RELIGION_PROV_DESC;This is the majority religion in this county.;Religion principale du comté.;;;;;;;;;;;;x
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE;You can never directly create a Holy Order title;Vous ne pouvez jamais créer directement le titre d'un Ordre militaire;;;;;;;;;;;;x
cb_liberate_nomad_duchy_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the savage, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;Ce casus belli permet à §Y$CLAIMANT$§! de s'emparer de tous les titres rattachés à la férule barbare de §Y$TARGET$§! dans les limites traditionnelles de §Y$TITLE$§!.;;;;;;;;;;;;x
nomad_dispute_desc;Feuding clans can declare wars against each other to seize a single county.;Le clans en querelle peuvent se déclarer la guerre en vue de s'emparer d'un comté.;;;;;;;;;;;;x
WAR_NAME_LIBERATE_NOMAD;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ libération de $OTHER_TITLE$;;;;;;;;;;;;x
liberate_nomad_cb_succ_tip;§Y[Root.GetTitledFirstName]§! vassalizes non-nomadic lords and takes all other titles in the §Y[This.GetFullBaseName]§!.\n;§Y[Root.GetTitledFirstName]§! vassalise les seigneurs sédentaires et s'empare de tous les autres titres relevant de §Y[This.GetFullBaseName]§!.;;;;;;;;;;;;x
pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against those who control titles within the kingdom.) Free men are always willing to follow the mightiest ruler...;Une fois dans leur vie, les seigneurs païens peuvent tenter d'assujettir leurs semblables. Toutefois, l'ambition §YDevenir $KING$§! Permet de lever cette limite à l'intérieur d'un royaume donné. Les hommes libres veulent toujours suivre le chef le plus puissant...;;;;;;;;;;;;x
pagan_county_conquest_desc;Pagans and Nomads can conquer single border counties without specific reasons. Norse Pagans can also take any coastal county.;Les païens et les nomades peuvent se livrer à la conquête de tout comté frontalier. De plus, les païens norrois peuvent conquérir tout comté côtier.;;;;;;;;;;;;x
nomad_subjugation_desc;Nomads can subjugate non-Nomadic realms once in their lifetime.;Une fois dans leur vie, les seigneurs nomades peuvent tenter d'assujettir une contrée de sédentaires.;;;;;;;;;;;;x
nomad_invasion_desc;If our population is getting too large, we may invade another realm to seize their pasture lands! If successful, all occupied territory will be seized and all vassals will become our vassals.;Si notre population devient trop importante, nous devrions envahir une autre contrée pour s'emparer de leur pâturages! Si tout se passe bien, tous les territoires occupés nous appartiendront et leurs vassaux seront désormais les nôtres.;;;;;;;;;;;;x
CB_NAME_PAGAN_SUBJUGATION;Subjugation;Assujettissement de [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_PAGAN_SUBJUGATION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Subjugation War;$ORDER$$FIRST_ADJ$ assujettissement de $OTHER_TITLE$;;;;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2I;Since §Y[Recipient.GetTitledFirstName]§! is a Tribal barbarian, our vassals will not object.;Puisque §Y[Recipient.GetTitledFirstName]§! est un barbare, nos vassaux ne s'y opposeront pas.;;;;;;;;;;;;x
religious_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. This Casus Belli is valid against neighbors, and also against infidels up to two sea zones away if either the attacker or the defender is a Muslim, or if the era of Great Holy Wars has started for the attacker's religion.;Ce casus belli permet à §Y$CLAIMANT$§! de s'emparer de tous les titres de l'infidèle §Y$TARGET$§! dans les limites traditionnelles de §Y$TITLE$§!. Ce casus belli est valide contre les voisins, mais également contre des infidèles dans un rayon de deux zones maritimes si l'un des belligérants est musulman, ou si la religion de l'attaquant se livre à des guerres religieuses.;;;;;;;;;;;;x
INTERACTION_REQUIRES_NO_UNITS_IN_ENEMY;We have no units in enemy counties where we lack Holdings;Nos unités sont présentes dans des provinces adverses où nous n'avons aucune Propriété.;;;;;;;;;;;;x
temple_desc;Temples provide moderate income and good levies. They may also give Piety to their holder, and the holder's liege.;Les temples fournissent des revenus modestes et de bonnes levées. Ils peuvent également fournir de la piété à leur propriétaire, ainsi qu'à son suzerain.;;;;;;;;;;;;x
ARRANGE_BETROTHAL_DESC;Arrange a betrothal with the most eligible potential spouse.;Arrangez des fiançailles avec le meilleur parti potentiel;;;;;;;;;;;;x
HINT_SPLASH_TEXT;In Crusader Kings II, you play as a succession of medieval rulers from a single dynasty. There is no set goal, but the world is filled with ambitious rivals... Secure more land to increase your power and protect your family.;Dans Crusader Kings II, vous incarnez une succession de dirigeants médiévaux issus de la même dynastie. Vous n'avez aucun objectif précis, mais le monde est rempli de dangereux rivaux... Amassez toujours plus de terres pour asseoir votre domination et protéger votre famille.;;;;;;;;;;;;x
HINT_SPLASH_START;As a ruler, your first priority is to secure an heir. If you do not have a legitimate heir when your character dies, the game will end. Other pressing matters appear as Alerts along the top of the screen!;Comme dirigeant, votre priorité est d'assurer votre héritage. Si vous n'avez aucun héritier légitime à la mort de votre personnage actuel, la partie prend fin. Tout autre sujet requérant votre attention pressante apparaissent sous forme d'alerte au sommet de l'écran.;;;;;;;;;;;;x
HINT_SPLASH_2_TITLE;[Culture.GetName] [Religion.GetName] [Government.GetName];[Culture.GetName] [Religion.GetName] de régime [Government.GetName];;;;;;;;;;;;x
HINT_SPLASH_2_CUL_DESC;[Culture.GetName] culture effects:;Effets de la culture [Culture.GetName] :;;;;;;;;;;;;x
REL_INVESTITURE_DESC;$NAME$ Bishops may pay tax to the Pope rather than their secular liege;Un évêque $NAME$ va verser l'impôt au Pape s'il le préfère à leur souverain séculier;;;;;;;;;;;;x
