#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une méchante personne;;;;;;;;;;;;x
IS_WICKED;Is wicked;Est quelqu'un de méchant;;;;;;;;;;;;x
ReapersDLC;The Reaper's Due;La Part de la Faucheuse;;;;;;;;;;;;x
release_tributary;Release Tributary;Émanciper un tributaire;;;;;;;;;;;;x
release_tributary_desc;You can choose to stop protecting Tributary Realms sworn to you. Doing so will hurt your prestige, but will make you able to attack them again;Vous pouvez mettre un terme à la protection que vous accordez à l'un de vos tributaires. Cela diminuera votre prestige, mais il redeviendra la cible potentielle de vos attaques.;;;;;;;;;;;;x
typhus;Camp Fever;Fièvre des geôles;;;;;;;;;;;;x
typhoid_fever;Slow Fever;Fièvre pétéchiale;;;;;;;;;;;;x
dancing_plague;Dancing Plague;Manie dansante;;;;;;;;;;;;x
dancing_plague_desc;This character is suffering from the Dancing Plague and is unable to stop moving. A very exhausting condition.;Cette personne est prise de la manie dansante et ne peut s'empêcher de bouger. Il s'agit d'un mal pour le moins épuisant.;;;;;;;;;;;;x
dancing_plague_death;dancing into oblivion;en dansant, jusqu'à ce que mort s'en suive;;;;;;;;;;;;x
DANCING_PLAGUE_INFO;The Dancing Plague, also known as Saint Vitus' dance, is spreading like wildfire amongst the populace. The ailment is possibly caused by ergot poisoning.;La manie dansante, aussi connue comme la danse de Saint-Guy, se propage rapidement chez la populace. Ce mal pourrait être causé par un empoissement à l'ergot.;;;;;;;;;;;;x
EVTNAME_RIP_4001;The Dancing Plague;La Manie dansante;;;;;;;;;;;;x
EVTDESC_RIP_4001;Something very strange is happening in the county of [dancing_plague_outbreak_location.GetName]. It all started with one peasant dancing in the streets, but soon there were dozens of them, and now there are hundreds - men, women and children alike! Musicians are playing joyous tunes all day and all night and the peasants barely have time to eat or sleep. The dancing has gone on for days and people have started to collapse from exhaustion.\n\nIt seems as if the dancing is spreading at an alarming rate, with groups of dancing people setting off in the direction of other towns.;Il se passe quelque chose de très étrange dans la contrée de [dancing_plague_outbreak_location.GetName]. Tout a commencé alors qu'un paysan a été aperçu en train de danser dans les rues. Bientôt, ils étaient des douzaines et maintenant, il y a des centaines d'hommes, de femmes et même d'enfants qui se prêtent à la danse! Les musiciens jouent des airs gais jour et nuit alors que les paysans prennent à peine le temps de manger et de dormir. La danse se prolonge depuis quelques jours déjà et certains se sont effondrés d'épuisement.\n\n L'engouement de cette danse est inquiétant, car des petits groupes ont quitté les lieux en direction des autres villages.;;;;;;;;;;;;x
dancing_queen;Dancing Queen;Reine de la danse;;;;;;;;;;;;x
dancing_king;Dancing King;Dieu de la danse;;;;;;;;;;;;x
cant_stop_dancing;Can't Stop Dancing;Esclave du rythme;;;;;;;;;;;;x
cant_stop_dancing_desc;This character can't stop moving [GetHerHis] arms and legs! Unable to eat or sleep, this character is close to death.;Cette personne ne parvient pas à cesser de bouger les bras et les jambes! Incapable de se reposer ou de se nourrir, elle risque d'en succomber.;;;;;;;;;;;;x
TOOLTIP_DISALLOW_FEMALE_COMMANDERS;Disallows female commanders\n;Permet aux femmes de commander les armées\n;;;;;;;;;;;;x
TOOLTIP_ALLOW_FEMALE_COMMANDERS;Allows female commanders\n;Interdit le commandement des armées aux femmes\n;;;;;;;;;;;;x
nomad_agitation;Nomad Agitation;Nomades agités;;;;;;;;;;;;x
nomad_agitation_desc;This county used to belong to free-spirited nomads. The formerly nomadic population of the county is displeased with having to stay in one place.;Cette province était anciennement le territoire de nomades épris de liberté. Cette populace est contrariée par sa sédentarisation.;;;;;;;;;;;;x
EVTDESC_HL_4997;As your predecessor was unable to construct enough holdings to rein in the nomadic population of [new_nomad_province.GetName], you had no choice but to see them secede from your realm. [new_nomad.GetFirstName] and [new_nomad.GetHerHis] [new_nomad_province.Culture.GetName]s now rule the area.;Puisque votre prédécesseur a été incapable de construire assez de propriétés pour contenir la population nomade en [new_nomad_province.GetName], vous n'avez d'autre choix que de reconnaître leur autonomie. [new_nomad.GetFirstName] et la population [new_nomad_province.Culture.GetName] gouvernent dorénavant cette région.;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS;Faster Melting Pots;Assemblage favorisé;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL;Slower Conversion;Conversion lente;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL;Combination;Hybride;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_DEFAULT_DESC;Culture will convert at the default rate.;Évolution par défaut;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_RESTRICTED_DESC;Culture will not spread into counties which do not border a county of the same culture, unless it is a port.;Une culture ne se répandra pas dans une province qui n'est pas bordée par au moins une autre province de cette même culture, sauf pour les provinces portuaires.;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_DESC;Melting Pot cultures will appear at an increased rate, i.e. English, Swedish and Russian.;Les cultures considérées comme un assemblage (soit les Anglais, les Suédois et les Russes) vont apparaître à un ryhtme plus élevé.;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_SLOWER_NORMAL_DESC;Base Culture Conversion chance is reduced by a factor of three.;La probabilité de conversion culturelle est divisée par trois par rapport à la normale;;;;;;;;;;;;x
RULE_CULTURE_CONVERSION_FASTER_MELTING_POTS_AND_SLOWER_NORMAL_DESC;Melting Pot cultures will appear at an increased rate, spread is restricted AND base Culture Conversion chance is reduced.;Les cultures anglaises, suédoises et russes vont apparaître plus rapidement, la propagation culturelle est restreinte et la probabilité de conversion est réduite.;;;;;;;;;;;;x
