#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_appointed_regent;Designated Regent;Garde des Sceaux;Designierter Regent;; Regente Nombrado;;;;;;;;;x
title_appointed_regent_frankish;;Lieutenant-général;;;;;;;;;;;;
title_appointed_regent_english;;Lord Commissaire;;;;;;;;;;;;
title_appointed_regent_german;;Printzregent;;;;;;;;;;;;
title_appointed_regent_dutch;;Prince-lieutenant;;;;;;;;;;;;
title_appointed_regent_arabic;;Grand Katib;;;;;;;;;;;;
title_appointed_regent_norse;;Grand Jarl;;;;;;;;;;;;
title_appointed_regent_iberian;;Gouverneur d'État;;;;;;;;;;;;
title_appointed_regent_desc;This character will become the Regent if one is needed.;Cette dignité comprend de conserver le grand sceau, par lequel les proclamations du souverain deviennent loi. Détenir les sceaux permet d'administrer le domaine, même en l'absence ou incapacité du souverain.;Diese Person wird im Bedarfsfall zum Regenten ernannt.;;Este personaje se convertirá en el Regente si es necesario;;;;;;;;;x
INTERACTION_REQ_REC_IS_DJ_LIEGE_OR_ADJ;[Recipient.GetBestName] must be a neighbor or the De Jure liege of my Capital.;[Recipient.GetBestName] doit être soit un voisin, soit le suzerain de jure de ma capitale.;[Recipient.GetBestName] muss ein Nachbar oder der De-Jure-Lehnsherr meiner Hauptstadt sein.;;[Recipient.GetBestName] tiene que ser un vecino o el señor feudal De Jure de mi Capital.;;;;;;;;;x
