#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CharlemagneDLC;Charlemagne;Charlemagne;Karl der Große;;Carlomagno;;;;;;;;;x
EarlyWesternClothingDLC;Early Western Clothing Pack;Pack de tenues occidentales anciennes;Paket Westliche Kleidung (Frühzeit);;Primeros Paquetes de Tela Occidental;;;;;;;;;x
EarlyEasternClothingDLC;Early Eastern Clothing Pack;Pack de tenues orientales anciennes;Paket Östliche Kleidung (Frühzeit);;Primeros Paquetes de Tela Occidental;;;;;;;;;x
DynastyShieldsCharlemagneDLC;Dynasty Shields Charlemagne;Armoiries dynastiques de Charlemagne;Familienwappen Karls des Großen;;Escudos de la Dinastía de Carlomagno;;;;;;;;;x
#CHRONICLE_DIVORCED;[From.GetTitledFirstName] announced the formal annulment of [Root.GetHerHis] marriage with [Spouse.GetTitledName].;[From.GetTitledFirstName] a formellement annoncé l'annulation de son mariage avec [Spouse.GetTitledName].;[From.GetTitledFirstName] verkündet die offizielle Annullierung [Root.GetHerHis] Ehe mit [Spouse.GetTitledName].;;[From.GetTitledFirstName] anunció la anulación formal de [Root.GetHerHis] boda con [Spouse.GetTitledName].;;;;;;;;;x
CHRONICLE_GRAND_TOURNAMENT;[From.GetTitledFirstName] held a grand tournament, inviting all the great lords and knights of the realm.;[From.GetTitledFirstName] a organisé un grand tournoi. Tous les grands seigneurs et tous les grands chevaliers du royaume y sont conviés.;[From.GetTitledFirstName] veranstaltete ein großes Turnier und lud dazu alle Fürsten und Ritter des Reiches ein.;;[From.GetTitledFirstName] lleva a cabo un magnífico torneo, todos los caballeros y gran señores están invitados.;;;;;;;;;x
CHRONICLE_FURUSIYYA;[From.GetTitledFirstName] held a Furusiyya, inviting all the great warriors of the realm to compete in skill at arms.;[From.GetTitledFirstName] a organisé une Furusiyya. Tous les grands guerriers du royaume sont invités à y montrer leurs talents martiaux.;[From.GetTitledFirstName] veranstaltete ein großes Furusiyya und lud zu den Kampfwettbewerben alle großen Krieger des Reiches ein.;;[From.GetTitledFirstName] celebra un Furusiyya, todos los guerreros del reino están invitados a competir con sus habilidades con las armas.;;;;;;;;;x
vice_royalty_baron_female;Baron Vicereine;Baillie;Vize-Baronin;;Virreina de la Baronía;;;;;;;;;x
vice_royalty_count_female;Count Vicereine;Vicomtesse;Vize-Gräfin;;Virreina del Condado;;;;;;;;;x
vice_royalty_duke_female;Minor Vicereine;Comtesse palatine;Geringere Vizekönigin;;Virreina secundaria;;;;;;;;;x
vice_royalty_king_female;Vicereine;Princesse palatine;Vizekönigin;;Virreina;;;;;;;;;x
vice_royalty_emperor_female;Grand Vicereine;Césarée;Hohe Vizekönigin;;Virreina principal;;;;;;;;;x
vice_royalty_duke_byzantine;Strategos;Stratège;Strategos;;Strategos;;;;;;;;;x
vice_royalty_king_byzantine;Exarch;Exarque;Exarch;;Exarca;;;;;;;;;x
vice_royalty_emperor_byzantine;Grand Exarch;Synbasileus;Groß-Exarch;;Gran Exarca;;;;;;;;;x
vice_royalty_duchy_of_byzantine;Theme of;Thème de;Thema von;;Tema de;;;;;;;;;x
vice_royalty_kingdom_of_byzantine;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;;;;;;;;;x
vice_royalty_empire_of_byzantine;Grand Exarchate of;Autocratie de;Groß-Exarchat von;;Gran Exarcado de;;;;;;;;;x
CHRONICLE_AVOID_IMPRISON_WAR;[Root.GetTitledNameWithNick] narrowly escaped imprisonment by [From.GetTitledNameWithNick] and was forced to raise [Root.GetHerHis] flag in rebellion.;[From.GetTitledNameWithNick] a ordonné l'emprisonnement de [Root.GetTitledNameWithNick], qui n'a eu d'autre choix que de lever l'étendard de la rébellion.;[Root.GetTitledNameWithNick] konnte der Inhaftierung durch [From.GetTitledNameWithNick] knapp entgehen und hisst [From.GetPossPronoun] Flagge in offener Rebellion!;;[Root.GetTitledNameWithNick] escapó por muy poco del encarcelamiento por parte de [From.GetTitledNameWithNick] y fue obligado a hizar [Root.GetHerHis] bandera en rebelión.;;;;;;;;;x
CHRONICLE_FAILED_IMPRISON_WAR;[Root.GetTitledNameWithNick] tried but failed to imprison [From.GetTitledNameWithNick], causing [From.GetHerHim] to come out in open rebellion.;[Root.GetTitledNameWithNick] n'est pas parvenu à incarcérer [From.GetTitledNameWithNick], qui vient de se déclarer rebelle.;[Root.GetTitledNameWithNick] versuchte ohne Erfolg, [From.GetTitledNameWithNick] in den Kerker zu werfen und bewirkte dadurch [From.GetHerHim] offene Rebellion.;;[Root.GetTitledNameWithNick] intentó pero no pudo encarcelar a [From.GetTitledNameWithNick], provocando [From.GetHerHim] que declarara una rebelión abierta.;;;;;;;;;x
CHRONICLE_INHERIT_MAJOR_TITLE;[Root.GetDynName] inherited the [From.GetName] from [FromFrom.GetDynName].;[Root.GetDynName] a hérité du (de la) [From.GetName] de [FromFrom.GetDynName].;[Root.GetDynName] erbte [From.GetName] von [FromFrom.GetDynName].;;[Root.GetDynName] heredó el [From.GetName] de [FromFrom.GetDynName].;;;;;;;;;x
