#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
adopt_wolf_child;The child is adopted with full right of inheritance.;L'enfant est adopté et pleinement légitimé.;Das Kind wird mit allen Erbrechten adoptiert.;;El niño es adoptado con pleno derecho de la herencia.;;;;;;;;;x
FORM_BLOOD_OATH_INTERACTION_TITLE;Form a Blood Oath;Devenir frères de sang;Blutschwur ablegen;;Hacer un juramento de sangre;;;;;;;;;x
#FORM_BLOOD_OATH_INTERACTION_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;Par ce serment solennel, ces deux clans n'en seront qu'un. Vous jurerez de vous défendre l'un l'autre et d'être à jamais alliés en temps de guerre et frères en tant de paix. Cependant, faites preuve de prudence, car ce serment ne peut être prêté qu'une seule fois.;Durch einen Blutschwur werden die beiden Klans geeint. Zweck des Schwurs ist es, dem anderen Klan im Verteidigungsfall zu helfen, im Krieg ein Bündnispartner und in Friedenszeiten ein Freund zu sein. Beachtet dabei jedoch, dass nur ein Klan Euer Bruderklan sein kann.;;Realizar un juramento de la sangre entre estos dos clanes será como si se convirtieran en uno solo. Juráis defenderos el uno al otro, siempre seréis aliados en la guerra y hermanos en la paz. Pero ten cuidado, puesto que sólo puedes tener un clan como hermano de sangre.;;;;;;;;;x
#FORM_BLOOD_OATH_INTERACTION_LONG_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;Par ce serment solennel, ces deux clans n'en seront qu'un. Vous jurerez de vous défendre l'un l'autre et d'être à jamais alliés en temps de guerre et frères en tant de paix. Cependant, faites preuve de prudence, car ce serment ne peut être prêté qu'une seule fois.;Durch einen Blutschwur werden die beiden Klans geeint. Zweck des Schwurs ist es, dem anderen Klan im Verteidigungsfall zu helfen, im Krieg ein Bündnispartner und in Friedenszeiten ein Freund zu sein. Beachtet dabei jedoch, dass nur ein Klan Euer Bruderklan sein kann.;;Realizar un juramento de la sangre entre estos dos clanes será como si se convirtieran en uno solo. Juráis defenderos el uno al otro, siempre seréis aliados en la guerra y hermanos en la paz. Pero ten cuidado, puesto que sólo puedes tener un clan como hermano de sangre.;;;;;;;;;x
HAS_BLOOD_OATH_WITH;Has a Blood Oath with §Y$CLAN$§!;Est frère de sang avec les §Y$CLAN$§!;Hat Blutschwur mit §Y$CLAN$§!;;Tiene un juramento de sangre con;;;;;;;;;x
NOT_HAS_BLOOD_OATH_WITH;Do not have a Blood Oath with §Y$CLAN$§!;N'est pas frère de sang avec les §Y$CLAN$§!;Hat keinen Blutschwur mit §Y$CLAN$§!;;No tiene un juramento de sangre con §Y$CLAN$§!;;;;;;;;;x
declare_feud;Declare Feud;Porter querelle;Fehde ausrufen;;Declarar enemistad;;;;;;;;;x
#declare_feud_desc;Declare a feud between your clan and another.;Porter querelle à un autre clan;Ruft eine Fehde aus zwischen Eurem und einem anderen Klan.;;Declarar una disputa entre tu clan y otro.;;;;;;;;;x
opinion_feud;Feud;Querelle;Fehde;;Enemistad;;;;;;;;;x
BLOOD_BROTHER;Blood Brothers;Frères de sang;Blutsbrüder;;Hermanos de sangre;;;;;;;;;x
EVTNAMEHL10;Death of a brother;La mort d'un frère;Tod eines Bruders;;Muerte de un hermano;;;;;;;;;x
EVTDESCHL10;With the death of [From.GetBestName] our blood oath with his family and our obligation to his people vanishes together with his life.;Avec la mort de [From.GetBestName], le serment unissant nos familles se délie, nous libérant de toutes obligations envers eux.;Der Tod von [From.GetBestName] bedeutet das Ende unseres Blutschwurs mit seiner Familie und unsere Verpflichtungen gegenüber seinem Volk sind damit aufgehoben.;;Con la muerte de [From.GetBestName], nuestro juramento de sangre con su familia y nuestra obligación hacia su pueblo desaparece junto con su vida.;;;;;;;;;x
alert_inefficent_land_management_instant;§YInefficient Land Management§!;§Ymauvaise gestion des terres§!;§YIneffiziente Landverwaltung§!;;§YIneficaz gestión de la tierra§!;;;;;;;;;x
alert_inefficent_land_management_delayed;You have too many holdings in your personal demesne. As a nomad you can only have one holding without penalties. However you might want to keep the land yourself so you can pillage it...;Votre domaine personnel est trop grand. En tant que nomade, vous ne pouvez détenir qu'un fief sans pénalité. Toutefois, vous pourriez vouloir conserver ces terres à votre main afin de pouvoir les piller à loisir...;Ihr habt zu viele Liegenschaften in Eurer Domäne. Als Nomade könnt Ihr nur eine Liegenschaft haben. Anderenfalls erhaltet Ihr Abzüge. Trotzdem wollt Ihr das Land vielleicht für Euch behalten, damit Ihr es plündern könnt...;;Tienes demasiadas posesiones en tu dominio personal. Como nómada, solo puedes tener una posesión sin penalizaciones. Sin embargo es posible que desees mantener la tierra para poder saquearla...;;;;;;;;;x
plot_gain_title_short;Plot to Acquire;Complot pour obtenir;Verschwörung zur Übernahme;;Complot para adquirir;;;;;;;;;x
plot_gain_vassal_title_short;Plot to Revoke;Complot pour révoquer;Verschwörung zur Aberkennung;;Complot para revocar;;;;;;;;;x
plot_kill_character_short;Plot to Kill;Complot pour tuer;Verschwörung zur Ermordung;;Complot para matar;;;;;;;;;x
plot_kill_spouse_short;Plot to Kill;Complot pour tuer;Verschwörung zur Ermordung;;Complot para matar;;;;;;;;;x
plot_gain_liege_title_short;Plot for Claim;Complot pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
plot_gain_fellow_vassal_title_short;Plot for Claim;Complot pour revendiquer;Verschwörung für Besitzanspruch;;Complot para reclamar;;;;;;;;;x
INTERACTION_HAS_TITLES_TO_REVOKE;Has Titles that can be Revoked;Détient des titres pouvant être révoqués;Hat Titel, die aberkannt werden können;;Tiene títulos que pueden ser revocados;;;;;;;;;x
MINOR_CLAN_REVOLT;[Root.County.GetAdjective] Minor Clan Rising;Soulèvement d'un clan local [Root.County.GetAdjective];[Root.County.GetAdjective] Kleinerer Klan erhebt sich;;[Root.County.GetAdjective] Rebelión del clan menor;;;;;;;;;x
succ_nomadic_desc;Among the peoples of the steppe, Prestige alone determines the line of succession. Legitimate children and siblings of the current ruler are eligible, but, unlike other forms of succession, only adults of the right culture can inherit.;Chez le peuple de la Steppe, le prestige est la seule source de légitimité. Les enfants et la fratrie du dirigeant actuel font partie de la ligne de succession, mais seulement les adultes de la même culture sont en mesure d'hériter des titres.;Prestige bestimmt bei den Steppenvölkern über die Erbfolge. Legitime Kinder und Verwandte des aktuellen Herrschers kommen als Nachfolger in Frage, aber im Unterschied zu anderen Formen der Erbfolge können nur Erwachsene mit der richtigen Kultur das Erbe antreten.;;Entre los pueblos de la estepa, solo el prestigio solo determina la línea de sucesión. Hijos legítimos y hermanos del actual gobernante son elegibles, pero a diferencia de otras formas de la sucesión, sólo los adultos de la cultura correcta pueden heredar.;;;;;;;;;x
STAT_CULTURE_PROV_DESC;This is the majority culture in this county.;Culture principale du comté.;Dies ist die Kultur der Mehrheit in dieser Grafschaft.;;Esta es la cultura mayoritaria de este condado.;;;;;;;;;x
STAT_RELIGION_PROV_DESC;This is the majority religion in this county.;Religion principale du comté.;Dies ist die Religion der Mehrheit in dieser Grafschaft.;;Esta es la religión mayoritaria en este condado.;;;;;;;;;x
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE;You can never directly create a Holy Order title;Vous ne pouvez jamais créer directement le titre d'un Ordre militaire;Ihr könnt prinzipiell keine Titel von Kriegerorden erschaffen.;;No se puede crear directamente un título de una orden sagrada;;;;;;;;;x
