#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have. If you should convert to a religion in the Muslim group, your government form will change to Iqta.;"Le régime féodal s'appuie sur l'hommage; le serment entre seigneur et vassal. Les seigneurs féodaux ne pouvant détenir en main propre tous leurs fiefs, ils doivent s'en remettre à des vassaux dont la loyauté est parfois vacillante... De nombreuses lois permettent d'ordonner la succession des titres; chacune ayant ses bons côtés. Le degré de centralisation influence la taille maximum de votre domaine personnel et le nombre de vassaux pouvant relever directement de vous. S'il advient que vous vous tourniez vers l'Islam, vous adopterez le régime de l'Iqtâ.";Im Zentrum einer Feudalregierung steht der Eid zwischen Lehnsherr und Vasall. Die Anzahl der Liegenschaften, die ein feudaler Herrscher persönlich regieren kann, ist begrenzt. Anschließend kommen Vasallen ins Spiel, deren Loyalität unterschiedlich groß sein kann... Für die Erbfolge stehen verschiedene Gesetze zur Wahl, von denen jedes seine Vorzüge hat. In den Zentralisierungsgesetzen ist die maximale Größe der Domäne und die mögliche Anzahl der direkten Vasallen festgelegt. Wenn Ihr zu einer Religion der islamischen Richtung konvertiert, wechselt Eure Staatsform zur Iqta.;;El gobierno feudal gira alrededor del juramento entre señor y vasallo, y los señores feudales sólo pueden poseer directamente un cierto número de posesiones antes de empezar a confiar en sus vasallos - cuya lealtad puede variar... Hay varias leyes de sucesión para elegir, cada una con sus propios méritos. La ley de centralización controla el tamaño máximo de tu domino y el número de vasallos directos que puedes tener. Si te conviertes a una religión del grupo musulmán, tu forma del gobierno cambiará a Iqta.;;;;;x;;;;
muslim_government_desc;The Arabic Iqta system is similar to the Feudal system - rulers must rely on land holding vassals or varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits. If you should convert to a non-Muslim religion, your government form will change to Feudal.;"En Occident, le système arabe de l'Iqtâ est considéré comme similaire au régime féodal; les dirigeants s'appuyant sur des subalternes détenant des terres et dont les ambitions ne sont pas toujours contrecarrées par leur loyauté. Leur nombre ainsi que la taille de votre domaine personnel sont conditionnées par le degré de centralisation. Toutefois, seule un type de succession est autorisé sous ce régime : la succession ouverte, un système parfois chaotique où le fils détenant le plus de terre succède au père. S'il advient que vous vous détourniez de l'Islam, l'Iqtâ fera place au régime féodal.";Das arabische Iqtasystem ähnelt dem Feudalsystem. Auch hier muss der Herrscher auf möglicherweise unzuverlässige Vasallen vertrauen. In den Zentralisierungsgesetzen ist festgelegt, wie viele Liegenschaften und wie viele Vasallen Ihr maximal haben könnt. Allerdings gibt es bei der Erbfolge nur eine einzige Variante: das chaotische 'offene' System, bei dem immer der Sohn mit dem größten Landbesitz erbt. Wenn Ihr zu einer nicht-islamischen Religion konvertiert, wechselt Eure Staatsform zum Feudalsystem.;;El sistema árabe del Iqta es similar al sistema feudal - los gobernantes deben depender de vasallos con posesiones territoriales de variable lealtad y ambición. El número máximo número de vasallos y de posesiones que puedes poseer directamente puedes poseer están controlados por la ley de centralización. Sin embargo, sólo existe una forma de sucesión: la caótica 'abierta', donde hereda el hijo con más tierras. Si te conviertes a una religión no musulmana tu forma de gobierno cambiará a feudal.;;;;;x;;;;
FORT_CONTROL_OVER_PROVINCE;Controls or Besieges §Y$PROVINCE$§!;Contrôle ou assiège §Y$PROVINCE$§!;Kontrolliert oder belagert §Y$PROVINCE$§!;;Controlará o sitiará §Y$PROVINCE$§!;;;;;;;;;x
TRIGGER_SUZERAIN;Suzerain;Suzerain;Souverän;;Soberano;;;;;;;;;x
FORT_CONSTRUCTION_ABANDONED_SETUP;Fort Construction Lost;Chantier abandonné;Konstruktionsfortschritt verloren;;Perdida la fortaleza en construcción;;;;;;;;;x
FORT_CONSTRUCTION_ABANDONED_LOG;The Fort under construction by §Y$BUILDER$§! in the hostile county of §Y$PROV$§! has been abandoned.;La construction du fort par §Y$BUILDER$§! en territoire hostile de §Y$PROV$§! a été abandonnée.;Das von §Y$BUILDER$§! geplante Fort in der feindlichen Provinz §Y$PROV$§! wurde aufgegeben.;;La Fortaleza bajo construcción por §Y$BUILDER$§! en el condado hostil de §Y$PROV$§! ha sido abandonada.;;;;;;;;;x
#BUILD_FORT_DESC;Forts can be built in all counties you control, and in hostile counties where you have troops present. Forts cost §Y$COST$§!¤ to construct and can be upgraded to regular Castle Holdings (by §GRight-Clicking the Fort§!). Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition enjoyed by certain Pagan tribes in their homelands.;Vous pouvez construire des forts dans les comtés que vous contrôlez, y compris dans ceux que vous occupez dans les comtés hostiles. Construire un fort coûte §Y$COST$§!¤ et les forts peuvent être améliorés en domaines fortifiés (§Gclic droit sur le fort§!). Les forts pérennisent l'occupation de provinces nomades vides et annulent la forte attrition dont souffrent certaines tribus païennes sur leurs terres d'origine.;Der Bau von Forts ist in allen Gebieten, die von Euch kontrolliert werden, möglich, sogar in feindlichen, wenn Ihr dort Truppen habt. Ein Fort hat Baukosten von §Y$COST$§!¤ und kann zu einer normalen Burgliegenschaft ausgebaut werden (§GRechtsklick auf das Fort§!). Sie ermöglichen es, leere Nomadenprovinzen dauerhaft zu besetzen. Außerdem wirken sie der vernichtenden Zermürbung auf dem Territorium mancher heidnischer Stämme entgegen.;;Las fortalezas se pueden construirse en todos los condados que controlas y en los condados hostiles donde tienes tropas presentes. Cuesta §Y$COST$§!¤ construir una fortaleza y se pueden actualizar a una posesión normal de castillo (al §Ghacer clic con el botón derecho en la fortaleza§!). Las fortalezas bloquean el ocupación de las provincias nómadas vacías y negar el agotamiento aplastante del que disfrutan ciertas tribus paganas en sus tierras natales.;;;;;;;;x;
succ_nomad_succession_desc;Under Nomad Succession, the son or brother with the most Prestige normally inherits, but prestigious Clan leaders also stand a chance if their Population is bigger than the Khagan's. Wrong-culture characters are disqualified and adults have precedence over children. If the Khagan's primary heir is still a child, the Khaganate is lost to one of the Clan chiefs. Clan chiefs with more Prestige than the heir get Claims on the Khaganate.;Dans la coutume nomade, c'est le fils ou le frère au plus grand prestige qui est l'héritier, mais les grands chefs de Clan ont également des prétentions, particulièrement s'ils dirigent davantage d'hommes que le Khagan. Les personnes d'une autre culture sont exclue de la succession et celle-ci préfère les adultes aux enfants. Si le principal héritier direct du Khagan est un enfant, l'un des chefs de Clan fera main basse sur la succession. De même, les chefs de Clan détenant un plus grand prestige que l'héritier reconnu pourront prétendre au Khaganat.;Bei der Nomadenerbfolge erbt für gewöhnlich derjenige Sohn oder Bruder mit dem meisten Prestige. Aber Klanführer mit viel Prestige haben ebenfalls eine Chance, wenn ihre Bevölkerung größer ist als die des Khagans. Personen, die nicht der gleichen Kultur angehören, kommen nicht in Frage. Erwachsene erhalten den Vorzug gegenüber Kindern. Sollte der Thronfolger des Khagans noch ein Kind sein, fällt das Khaganat an einen der Stammeshäuptlinge. Alle Klanhäuptlinge mit mehr Prestige als der Erbe erhalten einen Anspruch auf das Khaganat.;;Según la sucesión nómada, normalmente hereda el hijo o hermano con más prestigio. pero los líderes más prestigiosos de los clanes también tienen una oportunidad si su población es mayor que la del kagan. Los personajes de la cultura incorrecta están descalificados y los adultos tienen prioridad sobre los niños. Si el heredero principal del kagan todavía es un niño, el kaganato se pierde en favor de uno de los jefes del clan. Los jefes de clanes con más prestigio que el heredero pueden reclamar el kaganato.;;;;;;;;;x
CLAN_LIMIT_FORMULA;§YNumber of Clans§!;§YNombre de Clans§!;§YAnzahl der Klans§!;;§YNumbers de clanes§!;;;;;;;;;x
COUNTIES_PER_CLAN;Desired Counties per Clan;Nombre idéal de comtés par Clan;Gewünschte Provinzen pro Klan;;Condados deseados por clan;;;;;;;;;x
