#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
create_portugal_desc;I can begin a new era in these lands by founding the Kingdom of Portugal.;Je peux marquer le début d'une nouvelle ère sur ces terres en créant le royaume de Portugal.;Ich kann in diesen Landen eine neue Ära beginnen lassen, indem ich das Königreich Portugal gründe.;;Puedo comenzar una nueva era en estas tierras fundando el Reino de Portugal.;;;;;;;;;x
EVTDESC_39617;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nOur Liege, the [GetRootFromCompliment] [From.GetTitledNameWithNick] has, in [From.GetHerHis] great wisdom, decided to adopt the [From.Religion.GetName] faith. As [From.GetHerHis] [From.GetLordSpiritualName], I would suggest that you consider doing the same.\n\nIn service of [From.Religion.GetRandomGodName],\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] of  [From.PrimaryTitle.GetName];Ô [GetFromRootComplimentNounAdj] [Root.GetTitledFirstName],\n\nNotre suzerain, [GetRootFromComplimentNounAdj] [From.GetTitledNameWithNick], a, dans sa grande sagesse, décidé de se tourner vers la foi [From.Religion.GetName]. Étant son [From.GetLordSpiritualName], je vous suggère d'en faire autant.\n\nAu service de [From.Religion.GetRandomGodName],\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] de [From.PrimaryTitle.GetName];Geschätzte/r [Root.GetTitledFirstName],\n\nunser verehrter Lehnsherr [From.GetTitledNameWithNick] hat in großer Weisheit entschieden, zum [From.Religion.GetName] Glauben überzutreten. Als [From.GetHerHis] [From.GetLordSpiritualName] möchte ich Euch vorschlagen, dasselbe zu tun.\n\nGelobt sei [From.Religion.GetRandomGodName]!\n[convert_lord_spiritual.GetBestName], [From.GetLordSpiritualName] von [From.PrimaryTitle.GetName];;Para el [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nNuestra Lieja, el[GetRootFromCompliment] [From.GetTitledNameWithNick] tiene, con [From.GetHerHis] gran sabiduría, decidido adoptar la fe de [From.Religion.GetName]. Como [From.GetHerHis] [From.GetLordSpiritualName], le sugiero que considera hacer lo mismo. \n\nEn el servicio de [de Religión.GetRandomGodName]\n[convert lord spiritual.GetBestName], [From.GetLordSpiritualName] de  [From.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC62923;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;Les [From.GetDynName] ont créé un nouveau [From.PrimaryTitle.GetTier] en Espagne et règnent désormais en maître sur [From.PrimaryTitle.GetName] !;[From.GetDynName] gründete ein neues [From.PrimaryTitle.GetTier] in Spanien und herrscht nun über [From.PrimaryTitle.GetName]!;;[From.GetDynName]ha fundado un nuevo [From.PrimaryTitle.GetTier] en España, y ahora gobierna supremo sobre [From.PrimaryTitle.GetName]!;;;;;;;;;x
EVTDESC62925;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;Les [From.GetDynName] ont créé un nouveau [From.PrimaryTitle.GetTier] en Espagne et règnent désormais en maître sur [From.PrimaryTitle.GetName] !;[From.GetDynName] gründete ein neues [From.PrimaryTitle.GetTier] in Spanien und herrscht nun über [From.PrimaryTitle.GetName]!;;[From.GetDynName]ha fundado un nuevo [From.PrimaryTitle.GetTier] en España, y ahora gobierna supremo sobre [From.PrimaryTitle.GetName]!;;;;;;;;;x
EVTDESC62927;[From.GetDynName] has founded a new [From.PrimaryTitle.GetTier] in Spain, and now rules supreme over [From.PrimaryTitle.GetName]!;Les [From.GetDynName] ont créé un nouveau [From.PrimaryTitle.GetTier] en Espagne et règnent désormais en maître sur [From.PrimaryTitle.GetName] !;[From.GetDynName] gründete ein neues [From.PrimaryTitle.GetTier] in Spanien und herrscht nun über [From.PrimaryTitle.GetName]!;;­[From.GetDynName]ha fundado un nuevo [From.PrimaryTitle.GetTier]en España, y ahora gobierna supremo sobre [From.PrimaryTitle.GetName]!;;;;;;;;;x
EVTDESC62921;[From.GetDynName] has decided to found the [From.PrimaryTitle.GetTier] of León. The ancient [From.PrimaryTitle.GetTier] of Asturias is no more!;Les [From.GetDynName] ont décidé de créer le [From.PrimaryTitle.GetTier] de León. L'ancien [From.PrimaryTitle.GetTier] des Asturies n'est plus !;[From.GetDynName] hat beschlossen, das [From.PrimaryTitle.GetTier] von León zu gründen. Das alte [From.PrimaryTitle.GetTier] Asturien ist damit Geschichte!;;[From.GetDynName] ha decidido fundar [From.PrimaryTitle.GetTier] de León. El antiguo [From.PrimaryTitle.GetTier] de Asturias ya no existe más!;;;;;;;;;x
BUILD_FORT_DESC;Forts can be built in any provinces that you control, as well as in hostile provinces where you have troops present. They cost §Y$COST$§!¤ to build. Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition penalty suffered in some Pagan homelands.;Les forts peuvent être construits dans toute province que vous contrôlez, ainsi que dans les provinces hostiles soumises à votre occupation. Il en coûte 'Y$COST$'!$ d'en construire. Les forts pérennisent vore contrôle des terres nomades innocupées et mitigent l'attrition dévastatrice provoquées dans certains territoires païens.;Der Bau von Forts ist in allen Provinzen, die von Euch kontrolliert werden, möglich, auch in feindlichen, wenn Ihr dort Truppen stationiert habt. Ihr Bau kostet §Y$COST$§!. Forts ermöglichen es, leere Nomadenprovinzen dauerhaft zu besetzen, und sie wirken der vernichtenden Zermürbung entgegen, die im Territorium mancher heidnischer Stämme auftritt.;;Las fortalezas pueden ser construidas en cualquier provincia que controlas, así como en las provincias hostiles donde tienes tropas presentes. Cuesta §Y$COST$§!¤ para construir. Las fortalezas cierran tu ocupación de provincias de nómada vacías y niegue la pena de desgaste aplastante sufrida en algunas patrias Paganas.;;;;;;;;;x
create_aragon;Create Aragon;Créer l'Aragon;Aragon gründen;;Crear Aragon;;;;;;;;;x
create_castille;Create Castille;Créer la Castille;Kastilien gründen;;Crear Castilla;;;;;;;;;x
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL;Merchant Republics are not allowed to change Capital, unless they are moving it to a city in a province with a port from a province without a port;Les républiques marchandes ne peuvent changer de capitale, à moins qu'il ne s'agisse de préférer une cité côtière dotée d'un port à une province en étant dépourvue;Kaufmannsrepubliken dürfen ihre Hauptstadt nicht verlegen, es sei denn, die Verlegung erfolgt von einer Provinz ohne Hafen in eine Provinz mit Hafen.;;Las repúblicas mercantes no son permitidas cambiar capital, a menos que lo muevan a una ciudad en una provincia con puerto desde una provincia sin  puerto.;;;;;;;;;x
HINT_SPLASH_2_INTRO;You are playing a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].;Vous incarnez un/une [PrimaryTitle.GetRulerTitle] [Culture.GetName] de confession [Religion.GetName];Ihr spielt als ein [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].;;Estás jugando como un [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].;;;;;;;;;x
tribal_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments;Y*'! peut se transformer en régime féodal, en Iqtâ ou en république marchande;Y*'! Kann per Reform die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen;;§Y*§! Puede reformar al Feudal, Iqta y los gobiernos de las Repúblicas Mercantiles.;;;;;;;;;x
nomadic_governments_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§!Can abandon provinces to gain increased population and manpower growth;Y*'! peut se transformer en régime féodal, en Iqtâ ou en république marchande\n'Y*'! Peut piller des campements pour obtenir des richesses et du savoir technique.\n'Y*'! peut abandonner des provinces pour accroître sa population et sa main-d'oeuvre;Y*'! Kann per Reform die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen\n'Y*'! Kann Siedlungen plündern und dabei Reichtum und technischen Fortschritt erwerben\n'Y*'!Kann Provinzen aufgeben, um ein verbessertes Wachstum von Bevölkerung und Mannstärke zu erlangen.;;§Y*§! Puede reformar al feudalismo, Iqta y los gobiernos de las Repúblicas Mercantiles.\n§Y*§! Puede saquear los asentamientos para ganar riqueza y tecnología\n§Y*§!puede abandonar provincias para obtener mayor crecimiento de la población y la soldadesca;;;;;;;;;x
GOVERNMENT_UNLOCKS;Governments unlocked: ;Régimes accessibles : ;Regierungsformen freigeschaltet: ;;Gobiernos desbloqueados:;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke §Y$TIER$§! titles without objections from the aristocracy.;Notre régime $GOVERNMENT$ nous permet de révoquer les titres de 'Y$TIER$'! sans opposition de l'aristocratie.;Unsere $GOVERNMENT$-Verwaltung ermöglicht uns den Entzug von Titeln des Rangs 'Y$TIER$'! ohne Widerspruch der Aristokratie.;;Nuestra administración de $GOVERNMENT$ permite que nosotros revoquemos el §Y$TIER$§! títulos sin objeciones por parte de la aristocracia.;;;;;;;;;x
IS_DIVINE_BLOOD;The §Y$DYNASTY$§! Dynasty is of Divine Blood;La dynastie 'Y$DYNASTY$'! est une dynastie de sang divin.;Die 'Y$DYNASTY$'!-Dynastie ist von göttlichem Geblüt.;;La §Y$DYNASTY$§!dinastía es de Sangre Divina;;;;;;;;;x
