#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une méchante personne;Ist nicht ruchlos;;No es malvado;;;;;;;;;x
IS_WICKED;Is wicked;Est quelqu'un de méchant;Ist ruchlos;;Es malvado;;;;;;;;;x
ReapersDLC;The Reaper's Due;La Part de la Faucheuse;Reaper's Due;;El trabajo del Segador;;;;;;;;;x
release_tributary;Release Tributary;Émanciper un tributaire;Tributpflichtiges Reich entlassen;;Liberar tributario;;;;;;;;;x
release_tributary_desc;You can choose to stop protecting Tributary Realms sworn to you. Doing so will hurt your prestige, but will make you able to attack them again;Vous pouvez mettre un terme à la protection que vous accordez à l'un de vos tributaires. Cela diminuera votre prestige, mais il redeviendra la cible potentielle de vos attaques.;Ihr könnt den Schutz von tributpflichtigen Reichen, die Euch die Treue geschworen haben, einstellen. Dadurch verliert Ihr zwar an Prestige, Ihr könnt sie dann jedoch wieder angreifen.;;Puedes elegir dejar de proteger los reinos tributarios que te juraron lealtad. Hacerlo dañará tu prestigio pero te permitirá volver a atacarlo.;;;;;;;;;x
typhus;Camp Fever;Fièvre des geôles;Lagerfieber;;Tifus;;;;;;;;;x
typhoid_fever;Slow Fever;Fièvre pétéchiale;Schleichendes Fieber;;Fiebre tifoidea;;;;;;;;;x
dancing_plague;Dancing Plague;Manie dansante;Tanzwut;;Plaga del baile;;;;;;;;;x
dancing_plague_desc;This character is suffering from the Dancing Plague and is unable to stop moving. A very exhausting condition.;Cette personne est prise de la manie dansante et ne peut s'empêcher de bouger. Il s'agit d'un mal pour le moins épuisant.;Diese Person leidet an Tanzwut und kann nicht aufhören, sich zu bewegen. Ein sehr erschöpfendes Leiden.;;Este personaje sufre la Plaga del baile y es incapaz de dejar de moverse. Una afección agotadora.;;;;;;;;;x
dancing_plague_death;dancing into oblivion;en dansant, jusqu'à ce que mort s'en suive;an den Anstrengungen des Tanzens;;bailar hasta desaparecer;;;;;;;;;x
DANCING_PLAGUE_INFO;The Dancing Plague, also known as Saint Vitus' dance, is spreading like wildfire amongst the populace. The ailment is possibly caused by ergot poisoning.;La manie dansante, aussi connue comme la danse de Saint-Guy, se propage rapidement chez la populace. Ce mal pourrait être causé par un empoissement à l'ergot.;Die Tanzwut, auch bekannt als Veitstanz, verbreitet sich wie rasend unter der Bevölkerung. Das Leiden wird eventuell durch eine Mutterkornvergiftung ausgelöst.;;La Plaga del baile, también conocida como el Baile de San Vito, se extiende como la espuma entre el populacho. La enfermedad posiblemente está causada por envenenamiento por cornezuelo.;;;;;;;;;x
EVTNAME_RIP_4001;The Dancing Plague;La Manie dansante;Die Tanzwut;;La Plaga del baile;;;;;;;;;x
