BM_KOMNENOS_DYNASTY_DESC;After a series of devastating losses to invading Turkish forces, the Byzantine Empire is reeling. But there is hope - the great general Alexios Komnenos has just seized the throne from the corrupt Nikephoros III. Alexios - whose life was documented by his daughter Anna in 'the Alexiad' - and his successors would halt the decline of the Empire and push back the Turkish invaders from western Anatolia, buying more time for the ailing remnants of the old Roman Empire. For now, Anatolia is ruled by Suleyman I, a member of the Seljuk dynasty, who arrogantly calls his new state the 'Sultanate of Rum' (Rome).;"Après une série d'échecs consécutifs, en tentant d'anéantir les forces turques, l'Empire byzantin est fragilisé. Mais il reste un espoir : le grand général Alexis Ier Comnène vient de s'emparer du trône occupé jusqu'alors par Nicéphore III, homme d'état corrompu. Alexis, dont la vie a été relatée dans l'Alexiade par sa fille Anne, et ses successeurs ont mis un terme au déclin de l'Empire byzantin et repoussé les envahisseurs turcs de l'Anatolie occidentale, laissant quelque répit à l'ancien Empire romain fort affaibli. À présent, l'Anatolie est dirigée par Soliman Ier, membre de la dynastie seldjoukide, qui a donné le nom arrogant de ""Sultanat de Roum"" (Rome) à son nouvel état.";;;;;;;;;;;;
BM_THE_LATIN_EMPIRE_DESC;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the so called Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;La tristement célèbre Quatrième croisade, censée permettre de récupérer Jérusalem au terme d'une invasion à travers l'Égypte, a été mise en échec par des dirigeants vénitiens corrompus et manipulateurs ainsi que par l'Empereur byzantin déchu Alexis IV, désirant à tout prix reconquérir son trône. Cette croisade a abouti au pillage tragique de Constantinople et à l'établissement ultérieur dudit Empire latin. Quasiment aucun croisé n'est parvenu jusqu'à la Terre sainte. Pendant ce temps, l'infâme roi Jean, frère de Richard Cœur de Lion, dirige l'Angleterre et les états chrétiens d'Espagne doivent se défendre contre une puissante dynastie almohade.;;;;;;;;;;;;x
e_roman_empire_adj;Roman;Romain;;;;;;;;;;;;x
REL_HEAD;Religious Head;Dirigeant religieux;;;;;;;;;;;;x
AUTOCEPHALY_IRO;§YAdditional Autocephalous Patriarchs§!;§YPatriarches autocéphales supplémentaires§!;;;;;;;;;;;;x
WAR_NAME_FACTION_INDEPENDENCE;$ORDER$$FIRST_ADJ$ League Independence War;$ORDER$ Insurrection $SECOND_ADJ$ pour l'Indépendance;;;;;;;;;;;;x
faction_succ_seniority_short;Seniority Succession;Succession par séniorité;;;;;;;;;;;;x
faction_succ_seniority_title;Seniority Succession in [This.GetName];Succession par séniorité à [This.GetName];;;;;;;;;;;;x
faction_succ_seniority_desc;Members seek to institute succession by Seniority in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;Les membres d'une faction cherchent à établir la succession par séniorité à [This.GetName]. Une fois son soutien assuré, §Y[From.GetBestName]§! pourra lancer un ultimatum à §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;x
faction_succ_primogeniture_title;Primogeniture Succession in [This.GetName];Succession par primogéniture à [This.GetName];;;;;;;;;;;;x
faction_succ_primogeniture_desc;Members seek to institute succession by Primogeniture in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;Les membres d'une faction cherchent à établir la succession par primogéniture à [This.GetName]. Une fois son soutien assuré, §Y[From.GetBestName]§! pourra lancer un ultimatum à §Y[From.Liege.GetBestName]§!.;;;;;;;;;;;;x
